"Plot Title: 2nd Log9-26-22"
"#","Date Time, GMT-04:00","DO conc, mg/L (LGR S/N: 21118650, SEN S/N: 21118650, LBL: CP - Sector 1)","Temp, °F (LGR S/N: 21118650, SEN S/N: 21118650, LBL: CP - Sector 1)","Coupler Detached (LGR S/N: 21118650)","Data Outside Range (LGR S/N: 21118650)","Coupler Attached (LGR S/N: 21118650)","Host Connected (LGR S/N: 21118650)","Stopped (LGR S/N: 21118650)","End Of File (LGR S/N: 21118650)"
38,09/26/22 08:02:19 PM,10.49,63.46,,,,,,
39,09/26/22 08:12:19 PM,10.50,63.43,,,,,,
40,09/26/22 08:22:19 PM,10.50,63.43,,,,,,
41,09/26/22 08:32:19 PM,10.44,63.43,,,,,,
42,09/26/22 08:42:19 PM,10.41,63.39,,,,,,
43,09/26/22 08:52:19 PM,10.36,63.39,,,,,,
44,09/26/22 09:02:19 PM,10.39,63.36,,,,,,
45,09/26/22 09:12:19 PM,10.33,63.32,,,,,,
46,09/26/22 09:22:19 PM,10.30,63.36,,,,,,
47,09/26/22 09:32:19 PM,10.28,63.36,,,,,,
48,09/26/22 09:42:19 PM,10.24,63.36,,,,,,
49,09/26/22 09:52:19 PM,10.19,63.36,,,,,,
50,09/26/22 10:02:19 PM,10.17,63.36,,,,,,
51,09/26/22 10:12:19 PM,10.13,63.36,,,,,,
52,09/26/22 10:22:19 PM,10.03,63.32,,,,,,
53,09/26/22 10:32:19 PM,10.10,63.32,,,,,,
54,09/26/22 10:42:19 PM,10.08,63.28,,,,,,
55,09/26/22 10:52:19 PM,10.08,63.25,,,,,,
56,09/26/22 11:02:19 PM,9.89,63.25,,,,,,
57,09/26/22 11:12:19 PM,9.99,63.21,,,,,,
58,09/26/22 11:22:19 PM,9.78,63.21,,,,,,
59,09/26/22 11:32:19 PM,9.79,63.18,,,,,,
60,09/26/22 11:42:19 PM,9.87,63.18,,,,,,
61,09/26/22 11:52:19 PM,9.55,63.14,,,,,,
62,09/27/22 12:02:19 AM,9.73,63.14,,,,,,
63,09/27/22 12:12:19 AM,9.87,63.10,,,,,,
64,09/27/22 12:22:19 AM,9.68,63.10,,,,,,
65,09/27/22 12:32:19 AM,9.69,63.10,,,,,,
66,09/27/22 12:42:19 AM,9.55,63.07,,,,,,
67,09/27/22 12:52:19 AM,9.75,63.07,,,,,,
68,09/27/22 01:02:19 AM,9.78,63.03,,,,,,
69,09/27/22 01:12:19 AM,9.79,63.00,,,,,,
70,09/27/22 01:22:19 AM,9.87,63.00,,,,,,
71,09/27/22 01:32:19 AM,9.82,63.00,,,,,,
72,09/27/22 01:42:19 AM,9.71,62.96,,,,,,
73,09/27/22 01:52:19 AM,9.78,62.92,,,,,,
74,09/27/22 02:02:19 AM,9.70,62.89,,,,,,
75,09/27/22 02:12:19 AM,9.72,62.92,,,,,,
76,09/27/22 02:22:19 AM,9.63,62.89,,,,,,
77,09/27/22 02:32:19 AM,9.62,62.85,,,,,,
78,09/27/22 02:42:19 AM,9.78,62.82,,,,,,
79,09/27/22 02:52:19 AM,9.64,62.82,,,,,,
80,09/27/22 03:02:19 AM,9.67,62.78,,,,,,
81,09/27/22 03:12:19 AM,9.63,62.78,,,,,,
82,09/27/22 03:22:19 AM,9.52,62.71,,,,,,
83,09/27/22 03:32:19 AM,9.48,62.67,,,,,,
84,09/27/22 03:42:19 AM,9.59,62.64,,,,,,
85,09/27/22 03:52:19 AM,9.60,62.60,,,,,,
86,09/27/22 04:02:19 AM,9.57,62.56,,,,,,
87,09/27/22 04:12:19 AM,9.58,62.53,,,,,,
88,09/27/22 04:22:19 AM,9.55,62.49,,,,,,
89,09/27/22 04:32:19 AM,9.53,62.46,,,,,,
90,09/27/22 04:42:19 AM,9.46,62.42,,,,,,
91,09/27/22 04:52:19 AM,9.49,62.38,,,,,,
92,09/27/22 05:02:19 AM,9.41,62.38,,,,,,
93,09/27/22 05:12:19 AM,9.50,62.35,,,,,,
94,09/27/22 05:22:19 AM,9.41,62.31,,,,,,
95,09/27/22 05:32:19 AM,9.40,62.31,,,,,,
96,09/27/22 05:42:19 AM,9.36,62.28,,,,,,
97,09/27/22 05:52:19 AM,9.41,62.28,,,,,,
98,09/27/22 06:02:19 AM,9.13,62.28,,,,,,
99,09/27/22 06:12:19 AM,9.26,62.28,,,,,,
100,09/27/22 06:22:19 AM,9.41,62.28,,,,,,
101,09/27/22 06:32:19 AM,9.36,62.28,,,,,,
102,09/27/22 06:42:19 AM,9.29,62.28,,,,,,
103,09/27/22 06:52:19 AM,9.25,62.24,,,,,,
104,09/27/22 07:02:19 AM,9.20,62.20,,,,,,
105,09/27/22 07:12:19 AM,9.24,62.17,,,,,,
106,09/27/22 07:22:19 AM,9.36,62.13,,,,,,
107,09/27/22 07:32:19 AM,9.34,62.06,,,,,,
108,09/27/22 07:42:19 AM,9.38,62.06,,,,,,
109,09/27/22 07:52:19 AM,9.38,62.02,,,,,,
110,09/27/22 08:02:19 AM,9.35,61.99,,,,,,
111,09/27/22 08:12:19 AM,9.43,61.99,,,,,,
112,09/27/22 08:22:19 AM,9.34,61.99,,,,,,
113,09/27/22 08:32:19 AM,9.41,61.99,,,,,,
114,09/27/22 08:42:19 AM,9.39,61.95,,,,,,
115,09/27/22 08:52:19 AM,9.34,61.95,,,,,,
116,09/27/22 09:02:19 AM,9.42,61.95,,,,,,
117,09/27/22 09:12:19 AM,9.39,61.95,,,,,,
118,09/27/22 09:22:19 AM,9.35,61.92,,,,,,
119,09/27/22 09:32:19 AM,9.41,61.95,,,,,,
120,09/27/22 09:42:19 AM,9.51,61.95,,,,,,
121,09/27/22 09:52:19 AM,9.53,61.99,,,,,,
122,09/27/22 10:02:19 AM,9.67,62.02,,,,,,
123,09/27/22 10:12:19 AM,9.69,62.10,,,,,,
124,09/27/22 10:22:19 AM,9.77,62.13,,,,,,
125,09/27/22 10:32:19 AM,9.80,62.20,,,,,,
126,09/27/22 10:42:19 AM,9.92,62.28,,,,,,
127,09/27/22 10:52:19 AM,9.92,62.31,,,,,,
128,09/27/22 11:02:19 AM,9.93,62.38,,,,,,
129,09/27/22 11:12:19 AM,9.94,62.42,,,,,,
130,09/27/22 11:22:19 AM,10.07,62.49,,,,,,
131,09/27/22 11:32:19 AM,9.96,62.49,,,,,,
132,09/27/22 11:42:19 AM,9.92,62.53,,,,,,
133,09/27/22 11:52:19 AM,10.09,62.60,,,,,,
134,09/27/22 12:02:19 PM,10.11,62.67,,,,,,
135,09/27/22 12:12:19 PM,10.19,62.74,,,,,,
136,09/27/22 12:22:19 PM,10.21,62.78,,,,,,
137,09/27/22 12:32:19 PM,10.32,62.85,,,,,,
138,09/27/22 12:42:19 PM,10.45,62.89,,,,,,
139,09/27/22 12:52:19 PM,10.21,62.82,,,,,,
140,09/27/22 01:02:19 PM,10.23,62.78,,,,,,
141,09/27/22 01:12:19 PM,10.14,62.85,,,,,,
142,09/27/22 01:22:19 PM,10.17,62.82,,,,,,
143,09/27/22 01:32:19 PM,10.20,62.85,,,,,,
144,09/27/22 01:42:19 PM,10.15,62.85,,,,,,
145,09/27/22 01:52:19 PM,10.16,62.85,,,,,,
146,09/27/22 02:02:19 PM,10.14,62.85,,,,,,
147,09/27/22 02:12:19 PM,10.19,62.89,,,,,,
148,09/27/22 02:22:19 PM,10.27,63.00,,,,,,
149,09/27/22 02:32:19 PM,10.31,63.10,,,,,,
150,09/27/22 02:42:19 PM,10.43,63.18,,,,,,
151,09/27/22 02:52:19 PM,10.52,63.28,,,,,,
152,09/27/22 03:02:19 PM,10.62,63.36,,,,,,
153,09/27/22 03:12:19 PM,10.74,63.46,,,,,,
154,09/27/22 03:22:19 PM,10.81,63.54,,,,,,
155,09/27/22 03:32:19 PM,10.85,63.61,,,,,,
156,09/27/22 03:42:19 PM,10.90,63.68,,,,,,
157,09/27/22 03:52:19 PM,10.83,63.72,,,,,,
158,09/27/22 04:02:19 PM,10.72,63.75,,,,,,
159,09/27/22 04:12:19 PM,10.65,63.75,,,,,,
160,09/27/22 04:22:19 PM,10.63,63.82,,,,,,
161,09/27/22 04:32:19 PM,10.64,63.79,,,,,,
162,09/27/22 04:42:19 PM,10.56,63.82,,,,,,
163,09/27/22 04:52:19 PM,10.61,63.86,,,,,,
164,09/27/22 05:02:19 PM,10.62,63.90,,,,,,
165,09/27/22 05:12:19 PM,10.69,63.90,,,,,,
166,09/27/22 05:22:19 PM,10.74,63.97,,,,,,
167,09/27/22 05:32:19 PM,10.76,64.04,,,,,,
168,09/27/22 05:42:19 PM,10.72,64.11,,,,,,
169,09/27/22 05:52:19 PM,10.76,64.15,,,,,,
170,09/27/22 06:02:19 PM,10.78,64.15,,,,,,
171,09/27/22 06:12:19 PM,10.78,64.15,,,,,,
172,09/27/22 06:22:19 PM,10.82,64.15,,,,,,
173,09/27/22 06:32:19 PM,10.73,64.18,,,,,,
174,09/27/22 06:42:19 PM,10.48,64.18,,,,,,
175,09/27/22 06:52:19 PM,10.73,64.18,,,,,,
176,09/27/22 07:02:19 PM,10.61,64.29,,,,,,
177,09/27/22 07:12:19 PM,10.63,64.33,,,,,,
178,09/27/22 07:22:19 PM,10.52,64.40,,,,,,
179,09/27/22 07:32:19 PM,10.48,64.47,,,,,,
180,09/27/22 07:42:19 PM,10.32,64.44,,,,,,
181,09/27/22 07:52:19 PM,10.41,64.47,,,,,,
182,09/27/22 08:02:19 PM,10.37,64.47,,,,,,
183,09/27/22 08:12:19 PM,10.28,64.40,,,,,,
184,09/27/22 08:22:19 PM,10.34,64.33,,,,,,
185,09/27/22 08:32:19 PM,10.34,64.29,,,,,,
186,09/27/22 08:42:19 PM,10.13,64.26,,,,,,
187,09/27/22 08:52:19 PM,10.23,64.22,,,,,,
188,09/27/22 09:02:19 PM,10.23,64.22,,,,,,
189,09/27/22 09:12:19 PM,10.22,64.22,,,,,,
190,09/27/22 09:22:19 PM,10.15,64.18,,,,,,
191,09/27/22 09:32:19 PM,10.15,64.15,,,,,,
192,09/27/22 09:42:19 PM,10.13,64.11,,,,,,
193,09/27/22 09:52:19 PM,10.14,64.11,,,,,,
194,09/27/22 10:02:19 PM,10.05,64.08,,,,,,
195,09/27/22 10:12:19 PM,10.04,64.04,,,,,,
196,09/27/22 10:22:19 PM,10.05,64.04,,,,,,
197,09/27/22 10:32:19 PM,9.92,64.04,,,,,,
198,09/27/22 10:42:19 PM,9.96,64.00,,,,,,
199,09/27/22 10:52:19 PM,9.91,64.00,,,,,,
200,09/27/22 11:02:19 PM,9.95,63.97,,,,,,
201,09/27/22 11:12:19 PM,9.92,63.97,,,,,,
202,09/27/22 11:22:19 PM,9.87,63.93,,,,,,
203,09/27/22 11:32:19 PM,9.77,63.93,,,,,,
204,09/27/22 11:42:19 PM,9.88,63.90,,,,,,
205,09/27/22 11:52:19 PM,9.86,63.86,,,,,,
206,09/28/22 12:02:19 AM,9.74,63.86,,,,,,
207,09/28/22 12:12:19 AM,9.82,63.82,,,,,,
208,09/28/22 12:22:19 AM,9.79,63.79,,,,,,
209,09/28/22 12:32:19 AM,9.74,63.79,,,,,,
210,09/28/22 12:42:19 AM,9.70,63.79,,,,,,
211,09/28/22 12:52:19 AM,9.67,63.75,,,,,,
212,09/28/22 01:02:19 AM,9.64,63.72,,,,,,
213,09/28/22 01:12:19 AM,9.74,63.72,,,,,,
214,09/28/22 01:22:19 AM,9.63,63.68,,,,,,
215,09/28/22 01:32:19 AM,9.28,63.64,,,,,,
216,09/28/22 01:42:19 AM,9.08,63.64,,,,,,
217,09/28/22 01:52:19 AM,8.94,63.61,,,,,,
218,09/28/22 02:02:19 AM,9.47,63.57,,,,,,
219,09/28/22 02:12:19 AM,9.27,63.50,,,,,,
220,09/28/22 02:22:19 AM,9.33,63.46,,,,,,
221,09/28/22 02:32:19 AM,9.34,63.43,,,,,,
222,09/28/22 02:42:19 AM,9.05,63.39,,,,,,
223,09/28/22 02:52:19 AM,8.93,63.39,,,,,,
224,09/28/22 03:02:19 AM,9.17,63.36,,,,,,
225,09/28/22 03:12:19 AM,9.16,63.32,,,,,,
226,09/28/22 03:22:19 AM,9.39,63.28,,,,,,
227,09/28/22 03:32:19 AM,9.24,63.25,,,,,,
228,09/28/22 03:42:19 AM,9.14,63.21,,,,,,
229,09/28/22 03:52:19 AM,9.02,63.18,,,,,,
230,09/28/22 04:02:19 AM,9.02,63.18,,,,,,
231,09/28/22 04:12:19 AM,9.14,63.10,,,,,,
232,09/28/22 04:22:19 AM,8.72,63.07,,,,,,
233,09/28/22 04:32:19 AM,9.05,63.03,,,,,,
234,09/28/22 04:42:19 AM,9.10,63.03,,,,,,
235,09/28/22 04:52:19 AM,9.14,63.00,,,,,,
236,09/28/22 05:02:19 AM,9.16,62.96,,,,,,
237,09/28/22 05:12:19 AM,8.63,62.92,,,,,,
238,09/28/22 05:22:19 AM,8.94,62.92,,,,,,
239,09/28/22 05:32:19 AM,8.77,62.85,,,,,,
240,09/28/22 05:42:19 AM,9.06,62.85,,,,,,
241,09/28/22 05:52:19 AM,9.00,62.78,,,,,,
242,09/28/22 06:02:19 AM,8.85,62.71,,,,,,
243,09/28/22 06:12:19 AM,8.78,62.71,,,,,,
244,09/28/22 06:22:19 AM,8.86,62.67,,,,,,
245,09/28/22 06:32:19 AM,8.73,62.67,,,,,,
246,09/28/22 06:42:19 AM,8.91,62.67,,,,,,
247,09/28/22 06:52:19 AM,8.73,62.67,,,,,,
248,09/28/22 07:02:19 AM,8.77,62.60,,,,,,
249,09/28/22 07:12:19 AM,8.67,62.60,,,,,,
250,09/28/22 07:22:19 AM,8.79,62.56,,,,,,
251,09/28/22 07:32:19 AM,8.76,62.49,,,,,,
252,09/28/22 07:42:19 AM,8.77,62.46,,,,,,
253,09/28/22 07:52:19 AM,8.91,62.42,,,,,,
254,09/28/22 08:02:19 AM,9.07,62.42,,,,,,
255,09/28/22 08:12:19 AM,9.10,62.42,,,,,,
256,09/28/22 08:22:19 AM,9.07,62.42,,,,,,
257,09/28/22 08:32:19 AM,9.18,62.42,,,,,,
258,09/28/22 08:42:19 AM,9.39,62.46,,,,,,
259,09/28/22 08:52:19 AM,9.49,62.49,,,,,,
260,09/28/22 09:02:19 AM,9.50,62.60,,,,,,
261,09/28/22 09:12:19 AM,9.59,62.67,,,,,,
262,09/28/22 09:22:19 AM,9.64,62.74,,,,,,
263,09/28/22 09:32:19 AM,9.56,62.85,,,,,,
264,09/28/22 09:42:19 AM,9.65,62.96,,,,,,
265,09/28/22 09:52:19 AM,9.59,63.03,,,,,,
266,09/28/22 10:02:19 AM,9.44,62.92,,,,,,
267,09/28/22 10:12:19 AM,9.44,62.85,,,,,,
268,09/28/22 10:22:19 AM,9.37,62.92,,,,,,
269,09/28/22 10:32:19 AM,9.37,63.00,,,,,,
270,09/28/22 10:42:19 AM,9.66,63.00,,,,,,
271,09/28/22 10:52:19 AM,9.64,63.00,,,,,,
272,09/28/22 11:02:19 AM,9.74,63.00,,,,,,
273,09/28/22 11:12:19 AM,9.73,63.00,,,,,,
274,09/28/22 11:22:19 AM,9.74,62.96,,,,,,
275,09/28/22 11:32:19 AM,9.95,63.03,,,,,,
276,09/28/22 11:42:19 AM,9.92,63.10,,,,,,
277,09/28/22 11:52:19 AM,10.01,63.32,,,,,,
278,09/28/22 12:02:19 PM,10.17,63.54,,,,,,
279,09/28/22 12:12:19 PM,10.11,63.75,,,,,,
280,09/28/22 12:22:19 PM,10.17,63.79,,,,,,
281,09/28/22 12:32:19 PM,10.18,63.75,,,,,,
282,09/28/22 12:42:19 PM,10.20,63.72,,,,,,
283,09/28/22 12:52:19 PM,10.27,63.61,,,,,,
284,09/28/22 01:02:19 PM,10.28,63.86,,,,,,
285,09/28/22 01:12:19 PM,10.30,63.97,,,,,,
286,09/28/22 01:22:19 PM,10.33,64.04,,,,,,
287,09/28/22 01:32:19 PM,10.41,64.08,,,,,,
288,09/28/22 01:42:19 PM,10.35,64.26,,,,,,
289,09/28/22 01:52:19 PM,10.37,64.26,,,,,,
290,09/28/22 02:02:19 PM,10.37,64.40,,,,,,
291,09/28/22 02:12:19 PM,10.16,64.40,,,,,,
292,09/28/22 02:22:19 PM,10.38,64.47,,,,,,
293,09/28/22 02:32:19 PM,10.40,64.54,,,,,,
294,09/28/22 02:42:19 PM,10.44,64.54,,,,,,
295,09/28/22 02:52:19 PM,10.40,64.69,,,,,,
296,09/28/22 03:02:19 PM,10.52,64.65,,,,,,
297,09/28/22 03:12:19 PM,10.51,64.69,,,,,,
298,09/28/22 03:22:19 PM,10.53,64.69,,,,,,
299,09/28/22 03:32:19 PM,10.55,64.69,,,,,,
300,09/28/22 03:42:19 PM,10.39,64.80,,,,,,
301,09/28/22 03:52:19 PM,10.48,64.76,,,,,,
302,09/28/22 04:02:19 PM,10.43,64.72,,,,,,
303,09/28/22 04:12:19 PM,10.64,64.76,,,,,,
304,09/28/22 04:22:19 PM,10.78,64.83,,,,,,
305,09/28/22 04:32:19 PM,10.73,64.94,,,,,,
306,09/28/22 04:42:19 PM,10.74,65.05,,,,,,
307,09/28/22 04:52:19 PM,10.71,65.08,,,,,,
308,09/28/22 05:02:19 PM,10.73,65.05,,,,,,
309,09/28/22 05:12:19 PM,10.61,65.05,,,,,,
310,09/28/22 05:22:19 PM,10.61,65.05,,,,,,
311,09/28/22 05:32:19 PM,10.69,65.08,,,,,,
312,09/28/22 05:42:19 PM,10.67,65.12,,,,,,
313,09/28/22 05:52:19 PM,10.64,65.12,,,,,,
314,09/28/22 06:02:19 PM,10.61,65.16,,,,,,
315,09/28/22 06:12:19 PM,10.60,65.16,,,,,,
316,09/28/22 06:22:19 PM,10.54,65.08,,,,,,
317,09/28/22 06:32:19 PM,10.52,65.05,,,,,,
318,09/28/22 06:42:19 PM,10.57,65.05,,,,,,
319,09/28/22 06:52:19 PM,10.47,65.05,,,,,,
320,09/28/22 07:02:19 PM,10.53,65.01,,,,,,
321,09/28/22 07:12:19 PM,10.57,64.98,,,,,,
322,09/28/22 07:22:19 PM,10.45,64.98,,,,,,
323,09/28/22 07:32:19 PM,10.17,64.98,,,,,,
324,09/28/22 07:42:19 PM,10.18,64.83,,,,,,
325,09/28/22 07:52:19 PM,10.13,64.72,,,,,,
326,09/28/22 08:02:19 PM,10.29,64.69,,,,,,
327,09/28/22 08:12:19 PM,10.29,64.69,,,,,,
328,09/28/22 08:22:19 PM,10.21,64.69,,,,,,
329,09/28/22 08:32:19 PM,10.29,64.65,,,,,,
330,09/28/22 08:42:19 PM,10.25,64.62,,,,,,
331,09/28/22 08:52:19 PM,10.21,64.58,,,,,,
332,09/28/22 09:02:19 PM,10.25,64.54,,,,,,
333,09/28/22 09:12:19 PM,10.20,64.51,,,,,,
334,09/28/22 09:22:19 PM,10.19,64.47,,,,,,
335,09/28/22 09:32:19 PM,10.16,64.44,,,,,,
336,09/28/22 09:42:19 PM,10.11,64.40,,,,,,
337,09/28/22 09:52:19 PM,10.13,64.36,,,,,,
338,09/28/22 10:02:19 PM,10.10,64.33,,,,,,
339,09/28/22 10:12:19 PM,10.08,64.33,,,,,,
340,09/28/22 10:22:19 PM,10.06,64.29,,,,,,
341,09/28/22 10:32:19 PM,10.04,64.26,,,,,,
342,09/28/22 10:42:19 PM,10.01,64.22,,,,,,
343,09/28/22 10:52:19 PM,9.90,64.22,,,,,,
344,09/28/22 11:02:19 PM,9.88,64.15,,,,,,
345,09/28/22 11:12:19 PM,9.75,64.11,,,,,,
346,09/28/22 11:22:19 PM,9.83,64.11,,,,,,
347,09/28/22 11:32:19 PM,9.86,64.08,,,,,,
348,09/28/22 11:42:19 PM,9.87,64.00,,,,,,
349,09/28/22 11:52:19 PM,9.89,63.93,,,,,,
350,09/29/22 12:02:19 AM,9.82,63.90,,,,,,
351,09/29/22 12:12:19 AM,9.82,63.82,,,,,,
352,09/29/22 12:22:19 AM,9.81,63.82,,,,,,
353,09/29/22 12:32:19 AM,9.80,63.75,,,,,,
354,09/29/22 12:42:19 AM,9.74,63.68,,,,,,
355,09/29/22 12:52:19 AM,9.79,63.64,,,,,,
356,09/29/22 01:02:19 AM,9.72,63.64,,,,,,
357,09/29/22 01:12:19 AM,9.71,63.57,,,,,,
358,09/29/22 01:22:19 AM,9.70,63.50,,,,,,
359,09/29/22 01:32:19 AM,9.64,63.46,,,,,,
360,09/29/22 01:42:19 AM,9.61,63.43,,,,,,
361,09/29/22 01:52:19 AM,9.60,63.36,,,,,,
362,09/29/22 02:02:19 AM,9.66,63.28,,,,,,
363,09/29/22 02:12:19 AM,9.63,63.28,,,,,,
364,09/29/22 02:22:19 AM,9.63,63.25,,,,,,
365,09/29/22 02:32:19 AM,9.60,63.25,,,,,,
366,09/29/22 02:42:19 AM,9.61,63.21,,,,,,
367,09/29/22 02:52:19 AM,9.49,63.18,,,,,,
368,09/29/22 03:02:19 AM,9.44,63.10,,,,,,
369,09/29/22 03:12:19 AM,9.48,63.07,,,,,,
370,09/29/22 03:22:19 AM,9.46,63.03,,,,,,
371,09/29/22 03:32:19 AM,9.55,62.96,,,,,,
372,09/29/22 03:42:19 AM,9.58,62.89,,,,,,
373,09/29/22 03:52:19 AM,9.51,62.85,,,,,,
374,09/29/22 04:02:19 AM,9.64,62.74,,,,,,
375,09/29/22 04:12:19 AM,9.50,62.71,,,,,,
376,09/29/22 04:22:19 AM,9.47,62.71,,,,,,
377,09/29/22 04:32:19 AM,9.53,62.71,,,,,,
378,09/29/22 04:42:19 AM,9.25,62.64,,,,,,
379,09/29/22 04:52:19 AM,9.52,62.56,,,,,,
380,09/29/22 05:02:19 AM,9.56,62.53,,,,,,
381,09/29/22 05:12:19 AM,9.41,62.46,,,,,,
382,09/29/22 05:22:19 AM,9.24,62.38,,,,,,
383,09/29/22 05:32:19 AM,9.39,62.35,,,,,,
384,09/29/22 05:42:19 AM,9.41,62.38,,,,,,
385,09/29/22 05:52:19 AM,9.33,62.28,,,,,,
386,09/29/22 06:02:19 AM,9.41,62.28,,,,,,
387,09/29/22 06:12:19 AM,9.35,62.28,,,,,,
388,09/29/22 06:22:19 AM,9.34,62.24,,,,,,
389,09/29/22 06:32:19 AM,9.34,62.17,,,,,,
390,09/29/22 06:42:19 AM,9.31,62.10,,,,,,
391,09/29/22 06:52:19 AM,9.29,61.99,,,,,,
392,09/29/22 07:02:19 AM,9.17,61.92,,,,,,
393,09/29/22 07:12:19 AM,9.25,61.88,,,,,,
394,09/29/22 07:22:19 AM,9.29,61.88,,,,,,
395,09/29/22 07:32:19 AM,9.20,61.88,,,,,,
396,09/29/22 07:42:19 AM,9.20,61.92,,,,,,
397,09/29/22 07:52:19 AM,9.30,61.92,,,,,,
398,09/29/22 08:02:19 AM,9.28,61.92,,,,,,
399,09/29/22 08:12:19 AM,9.39,61.95,,,,,,
400,09/29/22 08:22:19 AM,9.33,61.92,,,,,,
401,09/29/22 08:32:19 AM,9.38,61.95,,,,,,
402,09/29/22 08:42:19 AM,9.37,61.95,,,,,,
403,09/29/22 08:52:19 AM,9.36,61.95,,,,,,
404,09/29/22 09:02:19 AM,9.40,61.92,,,,,,
405,09/29/22 09:12:19 AM,9.46,61.92,,,,,,
406,09/29/22 09:22:19 AM,9.48,61.92,,,,,,
407,09/29/22 09:32:19 AM,9.56,61.95,,,,,,
408,09/29/22 09:42:19 AM,9.55,61.99,,,,,,
409,09/29/22 09:52:19 AM,9.62,62.02,,,,,,
410,09/29/22 10:02:19 AM,9.64,62.02,,,,,,
411,09/29/22 10:12:19 AM,9.64,62.02,,,,,,
412,09/29/22 10:22:19 AM,9.60,61.99,,,,,,
413,09/29/22 10:32:19 AM,9.60,61.95,,,,,,
414,09/29/22 10:42:19 AM,9.59,61.92,,,,,,
415,09/29/22 10:52:19 AM,9.66,61.95,,,,,,
416,09/29/22 11:02:19 AM,9.69,61.95,,,,,,
417,09/29/22 11:12:19 AM,9.63,61.92,,,,,,
418,09/29/22 11:22:19 AM,9.67,61.95,,,,,,
419,09/29/22 11:32:19 AM,9.68,61.99,,,,,,
420,09/29/22 11:42:19 AM,9.70,61.92,,,,,,
421,09/29/22 11:52:19 AM,9.75,61.88,,,,,,
422,09/29/22 12:02:19 PM,9.78,61.92,,,,,,
423,09/29/22 12:12:19 PM,9.79,61.92,,,,,,
424,09/29/22 12:22:19 PM,9.83,61.92,,,,,,
425,09/29/22 12:32:19 PM,9.80,61.92,,,,,,
426,09/29/22 12:42:19 PM,9.82,61.95,,,,,,
427,09/29/22 12:52:19 PM,9.89,61.99,,,,,,
428,09/29/22 01:02:19 PM,9.86,61.99,,,,,,
429,09/29/22 01:12:19 PM,9.90,62.02,,,,,,
430,09/29/22 01:22:19 PM,9.93,62.06,,,,,,
431,09/29/22 01:32:19 PM,9.89,62.10,,,,,,
432,09/29/22 01:42:19 PM,9.90,62.13,,,,,,
433,09/29/22 01:52:19 PM,9.93,62.20,,,,,,
434,09/29/22 02:02:19 PM,9.96,62.24,,,,,,
435,09/29/22 02:12:19 PM,9.97,62.31,,,,,,
