"Plot Title: DOLogger2"
"#","Date Time, GMT-04:00","DO conc, mg/L (LGR S/N: 20906876, SEN S/N: 20906876)","Temp, °F (LGR S/N: 20906876, SEN S/N: 20906876)","Coupler Attached (LGR S/N: 20906876)","Host Connected (LGR S/N: 20906876)","Stopped (LGR S/N: 20906876)","End Of File (LGR S/N: 20906876)"
38,07/03/25 08:15:00 PM,7.49,81.97,,,,
39,07/03/25 08:30:00 PM,6.85,81.79,,,,
40,07/03/25 08:45:00 PM,6.95,81.79,,,,
41,07/03/25 09:00:00 PM,7.50,81.86,,,,
42,07/03/25 09:15:00 PM,7.55,81.82,,,,
43,07/03/25 09:30:00 PM,7.89,82.00,,,,
44,07/03/25 09:45:00 PM,8.08,81.97,,,,
45,07/03/25 10:00:00 PM,8.08,82.04,,,,
46,07/03/25 10:15:00 PM,8.02,82.00,,,,
47,07/03/25 10:30:00 PM,7.79,81.90,,,,
48,07/03/25 10:45:00 PM,7.59,81.82,,,,
49,07/03/25 11:00:00 PM,7.61,81.75,,,,
50,07/03/25 11:15:00 PM,7.70,81.75,,,,
51,07/03/25 11:30:00 PM,7.73,81.68,,,,
52,07/03/25 11:45:00 PM,7.58,81.61,,,,
53,07/04/25 12:00:00 AM,6.90,81.54,,,,
54,07/04/25 12:15:00 AM,7.47,81.50,,,,
55,07/04/25 12:30:00 AM,7.34,81.46,,,,
56,07/04/25 12:45:00 AM,7.09,81.36,,,,
57,07/04/25 01:00:00 AM,7.10,81.32,,,,
58,07/04/25 01:15:00 AM,7.00,81.25,,,,
59,07/04/25 01:30:00 AM,6.55,81.18,,,,
60,07/04/25 01:45:00 AM,6.63,81.14,,,,
61,07/04/25 02:00:00 AM,6.85,81.07,,,,
62,07/04/25 02:15:00 AM,7.26,81.00,,,,
63,07/04/25 02:30:00 AM,7.02,80.96,,,,
64,07/04/25 02:45:00 AM,7.02,80.85,,,,
65,07/04/25 03:00:00 AM,7.51,80.78,,,,
66,07/04/25 03:15:00 AM,7.45,80.71,,,,
67,07/04/25 03:30:00 AM,7.38,80.67,,,,
68,07/04/25 03:45:00 AM,7.10,80.60,,,,
69,07/04/25 04:00:00 AM,7.35,80.49,,,,
70,07/04/25 04:15:00 AM,7.33,80.46,,,,
71,07/04/25 04:30:00 AM,7.23,80.38,,,,
72,07/04/25 04:45:00 AM,7.02,80.35,,,,
73,07/04/25 05:00:00 AM,7.32,80.28,,,,
74,07/04/25 05:15:00 AM,7.23,80.17,,,,
75,07/04/25 05:30:00 AM,7.21,80.13,,,,
76,07/04/25 05:45:00 AM,7.13,80.06,,,,
77,07/04/25 06:00:00 AM,7.10,80.06,,,,
78,07/04/25 06:15:00 AM,6.91,79.95,,,,
79,07/04/25 06:30:00 AM,6.99,79.88,,,,
80,07/04/25 06:45:00 AM,6.84,79.84,,,,
81,07/04/25 07:00:00 AM,7.07,79.81,,,,
82,07/04/25 07:15:00 AM,7.03,79.81,,,,
83,07/04/25 07:30:00 AM,6.96,79.77,,,,
84,07/04/25 07:45:00 AM,6.90,79.74,,,,
85,07/04/25 08:00:00 AM,6.95,79.66,,,,
86,07/04/25 08:15:00 AM,7.11,79.66,,,,
87,07/04/25 08:30:00 AM,7.25,79.70,,,,
88,07/04/25 08:45:00 AM,7.27,79.74,,,,
89,07/04/25 09:00:00 AM,6.32,79.63,,,,
90,07/04/25 09:15:00 AM,5.99,79.56,,,,
91,07/04/25 09:30:00 AM,6.09,79.59,,,,
92,07/04/25 09:45:00 AM,3.34,79.66,,,,
93,07/04/25 10:00:00 AM,5.98,79.81,,,,
94,07/04/25 10:15:00 AM,6.47,79.84,,,,
95,07/04/25 10:30:00 AM,6.61,79.88,,,,
96,07/04/25 10:45:00 AM,6.31,79.92,,,,
97,07/04/25 11:00:00 AM,6.72,79.99,,,,
98,07/04/25 11:15:00 AM,6.62,80.02,,,,
99,07/04/25 11:30:00 AM,6.54,80.02,,,,
100,07/04/25 11:45:00 AM,6.62,80.10,,,,
101,07/04/25 12:00:00 PM,6.66,80.17,,,,
102,07/04/25 12:15:00 PM,6.81,80.31,,,,
103,07/04/25 12:30:00 PM,6.84,80.42,,,,
104,07/04/25 12:45:00 PM,6.84,80.46,,,,
105,07/04/25 01:00:00 PM,6.86,80.31,,,,
106,07/04/25 01:15:00 PM,6.85,80.42,,,,
107,07/04/25 01:30:00 PM,6.81,80.38,,,,
108,07/04/25 01:45:00 PM,6.59,80.38,,,,
109,07/04/25 02:00:00 PM,6.69,80.49,,,,
110,07/04/25 02:15:00 PM,6.65,80.56,,,,
111,07/04/25 02:30:00 PM,6.50,80.60,,,,
112,07/04/25 02:45:00 PM,6.48,80.64,,,,
113,07/04/25 03:00:00 PM,6.52,80.67,,,,
114,07/04/25 03:15:00 PM,6.91,80.82,,,,
115,07/04/25 03:30:00 PM,7.26,80.92,,,,
116,07/04/25 03:45:00 PM,7.19,81.03,,,,
117,07/04/25 04:00:00 PM,7.45,81.14,,,,
118,07/04/25 04:15:00 PM,7.54,81.32,,,,
119,07/04/25 04:30:00 PM,7.62,81.43,,,,
120,07/04/25 04:45:00 PM,7.38,81.46,,,,
121,07/04/25 05:00:00 PM,7.44,81.54,,,,
122,07/04/25 05:15:00 PM,7.77,81.64,,,,
123,07/04/25 05:30:00 PM,7.73,81.75,,,,
124,07/04/25 05:45:00 PM,7.78,81.79,,,,
125,07/04/25 06:00:00 PM,7.83,81.79,,,,
126,07/04/25 06:15:00 PM,7.70,81.79,,,,
127,07/04/25 06:30:00 PM,7.70,81.72,,,,
128,07/04/25 06:45:00 PM,7.68,81.75,,,,
129,07/04/25 07:00:00 PM,7.56,81.72,,,,
130,07/04/25 07:15:00 PM,7.48,81.64,,,,
131,07/04/25 07:30:00 PM,7.54,81.61,,,,
132,07/04/25 07:45:00 PM,7.62,81.57,,,,
133,07/04/25 08:00:00 PM,6.93,81.54,,,,
134,07/04/25 08:15:00 PM,7.14,81.39,,,,
135,07/04/25 08:30:00 PM,7.61,81.39,,,,
136,07/04/25 08:45:00 PM,7.61,81.36,,,,
137,07/04/25 09:00:00 PM,7.31,81.28,,,,
138,07/04/25 09:15:00 PM,7.40,81.25,,,,
139,07/04/25 09:30:00 PM,7.33,81.18,,,,
140,07/04/25 09:45:00 PM,7.21,81.10,,,,
141,07/04/25 10:00:00 PM,7.19,81.07,,,,
142,07/04/25 10:15:00 PM,7.12,81.03,,,,
143,07/04/25 10:30:00 PM,7.04,80.96,,,,
144,07/04/25 10:45:00 PM,7.07,80.92,,,,
145,07/04/25 11:00:00 PM,6.60,80.89,,,,
146,07/04/25 11:15:00 PM,6.86,80.85,,,,
147,07/04/25 11:30:00 PM,6.64,80.78,,,,
148,07/04/25 11:45:00 PM,6.73,80.71,,,,
149,07/05/25 12:00:00 AM,6.72,80.67,,,,
150,07/05/25 12:15:00 AM,6.72,80.60,,,,
151,07/05/25 12:30:00 AM,6.65,80.53,,,,
152,07/05/25 12:45:00 AM,6.58,80.46,,,,
153,07/05/25 01:00:00 AM,6.55,80.38,,,,
154,07/05/25 01:15:00 AM,6.66,80.31,,,,
155,07/05/25 01:30:00 AM,6.69,80.24,,,,
156,07/05/25 01:45:00 AM,6.45,80.17,,,,
157,07/05/25 02:00:00 AM,6.61,80.06,,,,
158,07/05/25 02:15:00 AM,6.57,79.95,,,,
159,07/05/25 02:30:00 AM,6.55,79.92,,,,
160,07/05/25 02:45:00 AM,6.56,79.81,,,,
161,07/05/25 03:00:00 AM,6.53,79.77,,,,
162,07/05/25 03:15:00 AM,6.46,79.66,,,,
163,07/05/25 03:30:00 AM,6.31,79.59,,,,
164,07/05/25 03:45:00 AM,6.34,79.52,,,,
165,07/05/25 04:00:00 AM,6.46,79.45,,,,
166,07/05/25 04:15:00 AM,6.37,79.38,,,,
167,07/05/25 04:30:00 AM,6.36,79.27,,,,
168,07/05/25 04:45:00 AM,6.31,79.20,,,,
169,07/05/25 05:00:00 AM,6.24,79.16,,,,
170,07/05/25 05:15:00 AM,6.14,79.05,,,,
171,07/05/25 05:30:00 AM,6.16,78.98,,,,
172,07/05/25 05:45:00 AM,6.09,78.91,,,,
173,07/05/25 06:00:00 AM,6.05,78.87,,,,
174,07/05/25 06:15:00 AM,5.95,78.84,,,,
175,07/05/25 06:30:00 AM,5.94,78.76,,,,
176,07/05/25 06:45:00 AM,6.01,78.69,,,,
177,07/05/25 07:00:00 AM,5.97,78.66,,,,
178,07/05/25 07:15:00 AM,5.97,78.58,,,,
179,07/05/25 07:30:00 AM,5.76,78.55,,,,
180,07/05/25 07:45:00 AM,5.89,78.51,,,,
181,07/05/25 08:00:00 AM,5.69,78.48,,,,
182,07/05/25 08:15:00 AM,5.47,78.44,,,,
183,07/05/25 08:30:00 AM,5.29,78.44,,,,
184,07/05/25 08:45:00 AM,5.21,78.40,,,,
185,07/05/25 09:00:00 AM,5.40,78.40,,,,
186,07/05/25 09:15:00 AM,5.53,78.40,,,,
187,07/05/25 09:30:00 AM,4.82,78.33,,,,
188,07/05/25 09:45:00 AM,4.24,78.37,,,,
189,07/05/25 10:00:00 AM,4.46,78.33,,,,
190,07/05/25 10:15:00 AM,4.58,78.30,,,,
191,07/05/25 10:30:00 AM,4.43,78.26,,,,
192,07/05/25 10:45:00 AM,4.53,78.19,,,,
193,07/05/25 11:00:00 AM,4.48,78.15,,,,
194,07/05/25 11:15:00 AM,4.37,78.15,,,,
195,07/05/25 11:30:00 AM,4.52,78.19,,,,
196,07/05/25 11:45:00 AM,4.38,78.19,,,,
197,07/05/25 12:00:00 PM,4.03,78.19,,,,
198,07/05/25 12:15:00 PM,4.09,78.19,,,,
199,07/05/25 12:30:00 PM,4.20,78.19,,,,
200,07/05/25 12:45:00 PM,4.05,78.19,,,,
201,07/05/25 01:00:00 PM,3.84,78.19,,,,
202,07/05/25 01:15:00 PM,3.88,78.15,,,,
203,07/05/25 01:30:00 PM,3.95,78.12,,,,
204,07/05/25 01:45:00 PM,4.20,78.15,,,,
205,07/05/25 02:00:00 PM,4.28,78.15,,,,
206,07/05/25 02:15:00 PM,4.20,78.19,,,,
207,07/05/25 02:30:00 PM,4.20,78.19,,,,
208,07/05/25 02:45:00 PM,4.33,78.12,,,,
209,07/05/25 03:00:00 PM,4.69,78.08,,,,
210,07/05/25 03:15:00 PM,4.91,78.08,,,,
211,07/05/25 03:30:00 PM,4.02,78.22,,,,
212,07/05/25 03:45:00 PM,4.54,77.97,,,,
213,07/05/25 04:00:00 PM,4.60,77.94,,,,
214,07/05/25 04:15:00 PM,4.62,77.97,,,,
215,07/05/25 04:30:00 PM,4.54,78.01,,,,
216,07/05/25 04:45:00 PM,4.47,78.01,,,,
217,07/05/25 05:00:00 PM,4.61,78.04,,,,
218,07/05/25 05:15:00 PM,4.55,78.08,,,,
219,07/05/25 05:30:00 PM,4.71,78.15,,,,
220,07/05/25 05:45:00 PM,4.57,78.15,,,,
221,07/05/25 06:00:00 PM,4.49,78.15,,,,
222,07/05/25 06:15:00 PM,4.57,78.22,,,,
223,07/05/25 06:30:00 PM,4.56,78.22,,,,
224,07/05/25 06:45:00 PM,4.35,78.19,,,,
225,07/05/25 07:00:00 PM,4.08,78.22,,,,
226,07/05/25 07:15:00 PM,4.05,78.15,,,,
227,07/05/25 07:30:00 PM,3.66,78.04,,,,
228,07/05/25 07:45:00 PM,2.90,78.08,,,,
229,07/05/25 08:00:00 PM,3.40,78.04,,,,
230,07/05/25 08:15:00 PM,3.61,78.04,,,,
231,07/05/25 08:30:00 PM,3.90,78.04,,,,
232,07/05/25 08:45:00 PM,3.98,78.12,,,,
233,07/05/25 09:00:00 PM,4.16,78.22,,,,
234,07/05/25 09:15:00 PM,4.17,78.37,,,,
235,07/05/25 09:30:00 PM,4.51,78.48,,,,
236,07/05/25 09:45:00 PM,4.53,78.48,,,,
237,07/05/25 10:00:00 PM,3.73,78.51,,,,
238,07/05/25 10:15:00 PM,3.47,78.48,,,,
239,07/05/25 10:30:00 PM,2.99,78.33,,,,
240,07/05/25 10:45:00 PM,2.54,78.15,,,,
241,07/05/25 11:00:00 PM,2.38,78.12,,,,
242,07/05/25 11:15:00 PM,2.75,78.12,,,,
243,07/05/25 11:30:00 PM,2.88,78.19,,,,
244,07/05/25 11:45:00 PM,2.47,78.22,,,,
245,07/06/25 12:00:00 AM,1.99,78.19,,,,
246,07/06/25 12:15:00 AM,1.98,78.12,,,,
247,07/06/25 12:30:00 AM,1.87,78.08,,,,
248,07/06/25 12:45:00 AM,2.02,78.08,,,,
249,07/06/25 01:00:00 AM,1.50,78.04,,,,
250,07/06/25 01:15:00 AM,1.90,78.12,,,,
251,07/06/25 01:30:00 AM,1.60,78.08,,,,
252,07/06/25 01:45:00 AM,2.22,78.08,,,,
253,07/06/25 02:00:00 AM,2.02,78.08,,,,
254,07/06/25 02:15:00 AM,1.80,78.08,,,,
255,07/06/25 02:30:00 AM,1.80,78.08,,,,
256,07/06/25 02:45:00 AM,1.68,78.08,,,,
257,07/06/25 03:00:00 AM,1.74,78.12,,,,
258,07/06/25 03:15:00 AM,1.60,78.12,,,,
259,07/06/25 03:30:00 AM,1.34,78.08,,,,
260,07/06/25 03:45:00 AM,1.09,78.15,,,,
261,07/06/25 04:00:00 AM,1.85,78.19,,,,
262,07/06/25 04:15:00 AM,1.72,78.15,,,,
263,07/06/25 04:30:00 AM,1.33,78.15,,,,
264,07/06/25 04:45:00 AM,1.77,78.15,,,,
265,07/06/25 05:00:00 AM,1.59,78.15,,,,
266,07/06/25 05:15:00 AM,1.62,78.19,,,,
267,07/06/25 05:30:00 AM,1.94,78.22,,,,
268,07/06/25 05:45:00 AM,2.04,78.22,,,,
269,07/06/25 06:00:00 AM,2.16,78.19,,,,
270,07/06/25 06:15:00 AM,2.31,78.22,,,,
271,07/06/25 06:30:00 AM,2.29,78.26,,,,
272,07/06/25 06:45:00 AM,2.30,78.26,,,,
273,07/06/25 07:00:00 AM,2.35,78.26,,,,
274,07/06/25 07:15:00 AM,2.16,78.26,,,,
275,07/06/25 07:30:00 AM,2.41,78.26,,,,
276,07/06/25 07:45:00 AM,2.34,78.22,,,,
277,07/06/25 08:00:00 AM,2.55,78.22,,,,
278,07/06/25 08:15:00 AM,2.60,78.30,,,,
279,07/06/25 08:30:00 AM,2.14,78.40,,,,
280,07/06/25 08:45:00 AM,1.93,78.55,,,,
281,07/06/25 09:00:00 AM,2.69,78.76,,,,
282,07/06/25 09:15:00 AM,2.85,79.02,,,,
283,07/06/25 09:30:00 AM,4.19,79.34,,,,
284,07/06/25 09:45:00 AM,6.11,79.56,,,,
285,07/06/25 10:00:00 AM,5.61,79.66,,,,
286,07/06/25 10:15:00 AM,4.25,79.70,,,,
287,07/06/25 10:30:00 AM,2.68,79.66,,,,
288,07/06/25 10:45:00 AM,0.86,79.16,,,,
289,07/06/25 11:00:00 AM,0.37,78.44,,,,
290,07/06/25 11:15:00 AM,0.36,78.01,,,,
291,07/06/25 11:30:00 AM,0.55,77.86,,,,
292,07/06/25 11:45:00 AM,0.89,77.90,,,,
293,07/06/25 12:00:00 PM,1.07,78.01,,,,
294,07/06/25 12:15:00 PM,1.30,78.08,,,,
295,07/06/25 12:30:00 PM,1.76,78.19,,,,
296,07/06/25 12:45:00 PM,1.79,78.33,,,,
297,07/06/25 01:00:00 PM,1.79,78.40,,,,
298,07/06/25 01:15:00 PM,1.77,78.44,,,,
299,07/06/25 01:30:00 PM,1.62,78.58,,,,
300,07/06/25 01:45:00 PM,1.39,78.69,,,,
301,07/06/25 02:00:00 PM,1.88,78.69,,,,
302,07/06/25 02:15:00 PM,2.24,78.87,,,,
303,07/06/25 02:30:00 PM,2.38,78.84,,,,
304,07/06/25 02:45:00 PM,2.31,78.84,,,,
305,07/06/25 03:00:00 PM,2.50,78.80,,,,
306,07/06/25 03:15:00 PM,2.85,78.87,,,,
307,07/06/25 03:30:00 PM,2.62,78.84,,,,
308,07/06/25 03:45:00 PM,2.88,78.98,,,,
309,07/06/25 04:00:00 PM,3.31,79.05,,,,
310,07/06/25 04:15:00 PM,3.01,79.09,,,,
311,07/06/25 04:30:00 PM,2.30,78.91,,,,
312,07/06/25 04:45:00 PM,2.81,78.91,,,,
313,07/06/25 05:00:00 PM,2.72,78.91,,,,
314,07/06/25 05:15:00 PM,2.70,78.87,,,,
315,07/06/25 05:30:00 PM,3.45,79.02,,,,
316,07/06/25 05:45:00 PM,3.39,79.12,,,,
317,07/06/25 06:00:00 PM,3.36,79.16,,,,
318,07/06/25 06:15:00 PM,3.59,79.27,,,,
319,07/06/25 06:30:00 PM,3.21,79.27,,,,
320,07/06/25 06:45:00 PM,2.88,79.23,,,,
321,07/06/25 07:00:00 PM,3.66,79.30,,,,
322,07/06/25 07:15:00 PM,3.81,79.38,,,,
323,07/06/25 07:30:00 PM,2.76,79.30,,,,
324,07/06/25 07:45:00 PM,2.68,79.34,,,,
325,07/06/25 08:00:00 PM,1.68,79.20,,,,
326,07/06/25 08:15:00 PM,1.06,79.05,,,,
327,07/06/25 08:30:00 PM,1.43,79.27,,,,
328,07/06/25 08:45:00 PM,1.95,79.30,,,,
329,07/06/25 09:00:00 PM,1.81,79.09,,,,
330,07/06/25 09:15:00 PM,1.72,79.16,,,,
331,07/06/25 09:30:00 PM,1.92,79.09,,,,
332,07/06/25 09:45:00 PM,2.45,79.16,,,,
333,07/06/25 10:00:00 PM,2.35,79.16,,,,
334,07/06/25 10:15:00 PM,2.25,79.09,,,,
335,07/06/25 10:30:00 PM,2.23,79.05,,,,
336,07/06/25 10:45:00 PM,2.37,79.09,,,,
337,07/06/25 11:00:00 PM,2.38,79.16,,,,
338,07/06/25 11:15:00 PM,2.44,79.20,,,,
339,07/06/25 11:30:00 PM,2.05,79.16,,,,
340,07/06/25 11:45:00 PM,1.55,79.09,,,,
341,07/07/25 12:00:00 AM,1.27,79.02,,,,
342,07/07/25 12:15:00 AM,0.68,78.98,,,,
343,07/07/25 12:30:00 AM,0.73,78.98,,,,
344,07/07/25 12:45:00 AM,0.07,78.94,,,,
345,07/07/25 01:00:00 AM,0.57,78.94,,,,
346,07/07/25 01:15:00 AM,0.13,78.94,,,,
347,07/07/25 01:30:00 AM,0.31,78.94,,,,
348,07/07/25 01:45:00 AM,0.13,78.91,,,,
349,07/07/25 02:00:00 AM,0.57,78.94,,,,
350,07/07/25 02:15:00 AM,0.87,79.05,,,,
351,07/07/25 02:30:00 AM,0.98,79.05,,,,
352,07/07/25 02:45:00 AM,0.83,79.05,,,,
353,07/07/25 03:00:00 AM,0.86,79.09,,,,
354,07/07/25 03:15:00 AM,0.99,79.12,,,,
355,07/07/25 03:30:00 AM,0.39,79.12,,,,
356,07/07/25 03:45:00 AM,0.01,79.12,,,,
357,07/07/25 04:00:00 AM,-0.02,79.09,,,,
358,07/07/25 04:15:00 AM,-0.02,79.09,,,,
359,07/07/25 04:30:00 AM,-0.02,79.16,,,,
360,07/07/25 04:45:00 AM,-0.01,79.12,,,,
361,07/07/25 05:00:00 AM,-0.03,79.20,,,,
362,07/07/25 05:15:00 AM,-0.03,79.23,,,,
363,07/07/25 05:30:00 AM,-0.03,79.23,,,,
364,07/07/25 05:45:00 AM,0.20,79.34,,,,
365,07/07/25 06:00:00 AM,-0.03,79.34,,,,
366,07/07/25 06:15:00 AM,-0.03,79.30,,,,
367,07/07/25 06:30:00 AM,0.00,79.34,,,,
368,07/07/25 06:45:00 AM,0.04,79.45,,,,
369,07/07/25 07:00:00 AM,0.12,79.41,,,,
370,07/07/25 07:15:00 AM,0.02,79.34,,,,
371,07/07/25 07:30:00 AM,-0.02,79.27,,,,
372,07/07/25 07:45:00 AM,0.06,79.30,,,,
373,07/07/25 08:00:00 AM,0.02,79.27,,,,
374,07/07/25 08:15:00 AM,-0.01,79.27,,,,
375,07/07/25 08:30:00 AM,0.13,79.38,,,,
376,07/07/25 08:45:00 AM,0.33,79.77,,,,
377,07/07/25 09:00:00 AM,0.20,79.84,,,,
378,07/07/25 09:15:00 AM,0.08,79.84,,,,
379,07/07/25 09:30:00 AM,0.08,79.70,,,,
380,07/07/25 09:45:00 AM,0.07,79.48,,,,
381,07/07/25 10:00:00 AM,0.19,79.45,,,,
382,07/07/25 10:15:00 AM,0.39,79.41,,,,
383,07/07/25 10:30:00 AM,0.46,79.38,,,,
384,07/07/25 10:45:00 AM,0.58,79.41,,,,
385,07/07/25 11:00:00 AM,0.61,79.30,,,,
386,07/07/25 11:15:00 AM,0.55,79.20,,,,
387,07/07/25 11:30:00 AM,0.77,79.23,,,,
388,07/07/25 11:45:00 AM,0.71,79.27,,,,
389,07/07/25 12:00:00 PM,0.65,79.23,,,,
390,07/07/25 12:15:00 PM,1.03,79.16,,,,
391,07/07/25 12:30:00 PM,1.32,79.27,,,,
392,07/07/25 12:45:00 PM,1.42,79.38,,,,
393,07/07/25 01:00:00 PM,1.57,79.52,,,,
394,07/07/25 01:15:00 PM,0.79,79.59,,,,
395,07/07/25 01:30:00 PM,0.34,79.56,,,,
396,07/07/25 01:45:00 PM,0.38,79.56,,,,
397,07/07/25 02:00:00 PM,0.56,79.52,,,,
398,07/07/25 02:15:00 PM,1.41,79.52,,,,
399,07/07/25 02:30:00 PM,0.48,79.48,,,,
400,07/07/25 02:45:00 PM,1.12,79.59,,,,
401,07/07/25 03:00:00 PM,0.94,79.84,,,,
402,07/07/25 03:15:00 PM,1.00,79.99,,,,
403,07/07/25 03:30:00 PM,0.84,80.06,,,,
404,07/07/25 03:45:00 PM,1.39,80.31,,,,
405,07/07/25 04:00:00 PM,0.96,80.28,,,,
406,07/07/25 04:15:00 PM,0.81,79.99,,,,
407,07/07/25 04:30:00 PM,0.76,80.06,,,,
408,07/07/25 04:45:00 PM,1.40,80.28,,,,
409,07/07/25 05:00:00 PM,1.37,80.35,,,,
410,07/07/25 05:15:00 PM,0.71,80.13,,,,
411,07/07/25 05:30:00 PM,0.68,80.13,,,,
412,07/07/25 05:45:00 PM,0.63,79.84,,,,
413,07/07/25 06:00:00 PM,0.65,80.02,,,,
414,07/07/25 06:15:00 PM,0.64,79.95,,,,
415,07/07/25 06:30:00 PM,0.68,80.17,,,,
416,07/07/25 06:45:00 PM,0.98,80.46,,,,
417,07/07/25 07:00:00 PM,0.68,80.35,,,,
418,07/07/25 07:15:00 PM,0.69,80.35,,,,
419,07/07/25 07:30:00 PM,0.65,80.24,,,,
420,07/07/25 07:45:00 PM,0.60,80.02,,,,
421,07/07/25 08:00:00 PM,0.56,79.95,,,,
422,07/07/25 08:15:00 PM,0.73,79.88,,,,
423,07/07/25 08:30:00 PM,0.52,79.92,,,,
424,07/07/25 08:45:00 PM,0.55,79.81,,,,
425,07/07/25 09:00:00 PM,0.58,79.81,,,,
426,07/07/25 09:15:00 PM,0.73,79.74,,,,
427,07/07/25 09:30:00 PM,0.83,80.10,,,,
428,07/07/25 09:45:00 PM,1.94,80.60,,,,
429,07/07/25 10:00:00 PM,1.27,80.85,,,,
430,07/07/25 10:15:00 PM,0.00,80.53,,,,
431,07/07/25 10:30:00 PM,-0.03,80.06,,,,
432,07/07/25 10:45:00 PM,-0.03,79.92,,,,
433,07/07/25 11:00:00 PM,-0.03,79.81,,,,
434,07/07/25 11:15:00 PM,-0.03,79.81,,,,
435,07/07/25 11:30:00 PM,-0.03,79.74,,,,
436,07/07/25 11:45:00 PM,-0.03,79.81,,,,
437,07/08/25 12:00:00 AM,-0.03,79.88,,,,
438,07/08/25 12:15:00 AM,-0.03,79.88,,,,
439,07/08/25 12:30:00 AM,-0.03,79.99,,,,
440,07/08/25 12:45:00 AM,-0.03,80.06,,,,
441,07/08/25 01:00:00 AM,-0.03,80.17,,,,
442,07/08/25 01:15:00 AM,-0.03,80.24,,,,
443,07/08/25 01:30:00 AM,-0.03,80.28,,,,
444,07/08/25 01:45:00 AM,-0.03,80.28,,,,
445,07/08/25 02:00:00 AM,-0.03,80.31,,,,
446,07/08/25 02:15:00 AM,-0.03,80.35,,,,
447,07/08/25 02:30:00 AM,-0.03,80.35,,,,
448,07/08/25 02:45:00 AM,-0.03,80.28,,,,
449,07/08/25 03:00:00 AM,-0.03,80.20,,,,
450,07/08/25 03:15:00 AM,-0.03,80.13,,,,
451,07/08/25 03:30:00 AM,-0.03,80.13,,,,
452,07/08/25 03:45:00 AM,-0.03,80.10,,,,
453,07/08/25 04:00:00 AM,-0.03,80.02,,,,
454,07/08/25 04:15:00 AM,-0.03,79.99,,,,
455,07/08/25 04:30:00 AM,-0.03,79.92,,,,
456,07/08/25 04:45:00 AM,-0.03,79.95,,,,
457,07/08/25 05:00:00 AM,-0.03,80.10,,,,
458,07/08/25 05:15:00 AM,-0.03,80.13,,,,
459,07/08/25 05:30:00 AM,-0.03,80.20,,,,
460,07/08/25 05:45:00 AM,-0.03,80.28,,,,
461,07/08/25 06:00:00 AM,-0.03,80.28,,,,
462,07/08/25 06:15:00 AM,-0.03,80.24,,,,
463,07/08/25 06:30:00 AM,-0.03,80.28,,,,
464,07/08/25 06:45:00 AM,-0.03,80.31,,,,
465,07/08/25 07:00:00 AM,-0.03,80.24,,,,
466,07/08/25 07:15:00 AM,-0.03,80.24,,,,
467,07/08/25 07:30:00 AM,-0.03,80.24,,,,
468,07/08/25 07:45:00 AM,-0.03,80.28,,,,
