"Plot Title: DOLogger2"
"#","Date Time, GMT-04:00","DO conc, mg/L (LGR S/N: 20906876, SEN S/N: 20906876)","Temp, °F (LGR S/N: 20906876, SEN S/N: 20906876)","Coupler Detached (LGR S/N: 20906876)","Coupler Attached (LGR S/N: 20906876)","Host Connected (LGR S/N: 20906876)","Stopped (LGR S/N: 20906876)","End Of File (LGR S/N: 20906876)"
103,09/30/24 05:59:40 PM,8.94,67.42,,,,,
104,09/30/24 06:14:40 PM,9.40,67.86,,,,,
105,09/30/24 06:29:40 PM,9.52,68.11,,,,,
106,09/30/24 06:44:40 PM,9.65,68.14,,,,,
107,09/30/24 06:59:40 PM,9.66,68.04,,,,,
108,09/30/24 07:14:40 PM,9.62,67.93,,,,,
109,09/30/24 07:29:40 PM,9.16,67.71,,,,,
110,09/30/24 07:44:40 PM,8.99,67.53,,,,,
111,09/30/24 07:59:40 PM,9.05,67.57,,,,,
112,09/30/24 08:14:40 PM,8.94,67.57,,,,,
113,09/30/24 08:29:40 PM,8.69,67.50,,,,,
114,09/30/24 08:44:40 PM,8.41,67.32,,,,,
115,09/30/24 08:59:40 PM,7.94,67.06,,,,,
116,09/30/24 09:14:40 PM,7.38,66.85,,,,,
117,09/30/24 09:29:40 PM,7.40,66.74,,,,,
118,09/30/24 09:44:40 PM,7.56,66.67,,,,,
119,09/30/24 09:59:40 PM,7.43,66.67,,,,,
120,09/30/24 10:14:40 PM,7.57,66.70,,,,,
121,09/30/24 10:29:40 PM,7.52,66.70,,,,,
122,09/30/24 10:44:40 PM,7.64,66.67,,,,,
123,09/30/24 10:59:40 PM,7.43,66.60,,,,,
124,09/30/24 11:14:40 PM,7.23,66.56,,,,,
125,09/30/24 11:29:40 PM,7.39,66.52,,,,,
126,09/30/24 11:44:40 PM,7.49,66.52,,,,,
127,09/30/24 11:59:40 PM,7.65,66.49,,,,,
128,10/01/24 12:14:40 AM,7.72,66.52,,,,,
129,10/01/24 12:29:40 AM,7.81,66.56,,,,,
130,10/01/24 12:44:40 AM,7.92,66.60,,,,,
131,10/01/24 12:59:40 AM,7.98,66.60,,,,,
132,10/01/24 01:14:40 AM,8.01,66.60,,,,,
133,10/01/24 01:29:40 AM,8.07,66.60,,,,,
134,10/01/24 01:44:40 AM,8.04,66.63,,,,,
135,10/01/24 01:59:40 AM,8.06,66.63,,,,,
136,10/01/24 02:14:40 AM,8.09,66.67,,,,,
137,10/01/24 02:29:40 AM,8.07,66.74,,,,,
138,10/01/24 02:44:40 AM,8.06,66.70,,,,,
139,10/01/24 02:59:40 AM,7.97,66.70,,,,,
140,10/01/24 03:14:40 AM,8.02,66.78,,,,,
141,10/01/24 03:29:40 AM,8.02,66.81,,,,,
142,10/01/24 03:44:40 AM,7.88,66.81,,,,,
143,10/01/24 03:59:40 AM,7.97,66.88,,,,,
144,10/01/24 04:14:40 AM,7.98,66.88,,,,,
145,10/01/24 04:29:40 AM,7.98,66.92,,,,,
146,10/01/24 04:44:40 AM,7.99,66.92,,,,,
147,10/01/24 04:59:40 AM,7.96,66.92,,,,,
148,10/01/24 05:14:40 AM,7.96,66.88,,,,,
149,10/01/24 05:29:40 AM,7.94,66.81,,,,,
150,10/01/24 05:44:40 AM,8.18,66.85,,,,,
151,10/01/24 05:59:40 AM,7.81,66.67,,,,,
152,10/01/24 06:14:40 AM,7.58,66.60,,,,,
153,10/01/24 06:29:40 AM,7.78,66.60,,,,,
154,10/01/24 06:44:40 AM,7.84,66.52,,,,,
155,10/01/24 06:59:40 AM,7.49,66.49,,,,,
156,10/01/24 07:14:40 AM,7.96,66.45,,,,,
157,10/01/24 07:29:40 AM,7.59,66.42,,,,,
158,10/01/24 07:44:40 AM,6.58,66.34,,,,,
159,10/01/24 07:59:40 AM,7.86,66.34,,,,,
160,10/01/24 08:14:40 AM,7.61,66.31,,,,,
161,10/01/24 08:29:40 AM,8.11,66.34,,,,,
162,10/01/24 08:44:40 AM,7.79,66.34,,,,,
163,10/01/24 08:59:40 AM,7.83,66.34,,,,,
164,10/01/24 09:14:40 AM,7.81,66.34,,,,,
165,10/01/24 09:29:40 AM,7.86,66.38,,,,,
166,10/01/24 09:44:40 AM,7.40,66.34,,,,,
167,10/01/24 09:59:40 AM,7.54,66.38,,,,,
168,10/01/24 10:14:40 AM,7.57,66.42,,,,,
169,10/01/24 10:29:40 AM,6.95,66.38,,,,,
170,10/01/24 10:44:40 AM,7.75,66.42,,,,,
171,10/01/24 10:59:40 AM,8.29,66.38,,,,,
172,10/01/24 11:14:40 AM,8.00,66.45,,,,,
173,10/01/24 11:29:40 AM,8.39,66.45,,,,,
174,10/01/24 11:44:40 AM,8.81,66.52,,,,,
175,10/01/24 11:59:40 AM,8.79,66.52,,,,,
176,10/01/24 12:14:40 PM,9.16,66.85,,,,,
177,10/01/24 12:29:40 PM,9.31,67.39,,,,,
178,10/01/24 12:44:40 PM,9.41,67.50,,,,,
179,10/01/24 12:59:40 PM,9.51,67.64,,,,,
180,10/01/24 01:14:40 PM,9.55,67.78,,,,,
181,10/01/24 01:29:40 PM,9.59,67.93,,,,,
182,10/01/24 01:44:40 PM,9.61,67.96,,,,,
183,10/01/24 01:59:40 PM,9.71,68.04,,,,,
184,10/01/24 02:14:40 PM,9.63,68.04,,,,,
185,10/01/24 02:29:40 PM,9.69,68.04,,,,,
186,10/01/24 02:44:40 PM,9.76,68.04,,,,,
187,10/01/24 02:59:40 PM,9.69,68.07,,,,,
188,10/01/24 03:14:40 PM,9.51,67.96,,,,,
189,10/01/24 03:29:40 PM,9.44,67.93,,,,,
190,10/01/24 03:44:40 PM,9.25,67.89,,,,,
191,10/01/24 03:59:40 PM,8.78,67.86,,,,,
192,10/01/24 04:14:40 PM,8.95,67.78,,,,,
193,10/01/24 04:29:40 PM,7.11,66.85,,,,,
194,10/01/24 04:44:40 PM,7.73,66.74,,,,,
195,10/01/24 04:59:40 PM,7.86,66.92,,,,,
196,10/01/24 05:14:40 PM,7.70,67.39,,,,,
197,10/01/24 05:29:40 PM,9.21,67.60,,,,,
198,10/01/24 05:44:40 PM,8.58,67.71,,,,,
199,10/01/24 05:59:40 PM,8.37,67.64,,,,,
200,10/01/24 06:14:40 PM,8.63,67.68,,,,,
201,10/01/24 06:29:40 PM,7.82,67.75,,,,,
202,10/01/24 06:44:40 PM,8.56,67.71,,,,,
203,10/01/24 06:59:40 PM,8.66,67.64,,,,,
204,10/01/24 07:14:40 PM,8.53,67.60,,,,,
205,10/01/24 07:29:40 PM,8.77,67.42,,,,,
206,10/01/24 07:44:40 PM,8.59,67.32,,,,,
207,10/01/24 07:59:40 PM,8.99,67.42,,,,,
208,10/01/24 08:14:40 PM,9.36,67.46,,,,,
209,10/01/24 08:29:40 PM,9.84,67.50,,,,,
210,10/01/24 08:44:40 PM,9.19,67.39,,,,,
211,10/01/24 08:59:40 PM,9.47,67.42,,,,,
212,10/01/24 09:14:40 PM,9.39,67.46,,,,,
213,10/01/24 09:29:40 PM,9.40,67.42,,,,,
214,10/01/24 09:44:40 PM,9.63,67.42,,,,,
215,10/01/24 09:59:40 PM,9.78,67.42,,,,,
216,10/01/24 10:14:40 PM,9.64,67.42,,,,,
217,10/01/24 10:29:40 PM,9.91,67.42,,,,,
218,10/01/24 10:44:40 PM,9.86,67.39,,,,,
219,10/01/24 10:59:40 PM,9.84,67.35,,,,,
220,10/01/24 11:14:40 PM,9.81,67.32,,,,,
221,10/01/24 11:29:40 PM,9.73,67.24,,,,,
222,10/01/24 11:44:40 PM,9.75,67.21,,,,,
223,10/01/24 11:59:40 PM,9.76,67.17,,,,,
224,10/02/24 12:14:40 AM,9.69,67.17,,,,,
225,10/02/24 12:29:40 AM,9.69,67.14,,,,,
226,10/02/24 12:44:40 AM,9.64,67.10,,,,,
227,10/02/24 12:59:40 AM,9.60,67.06,,,,,
228,10/02/24 01:14:40 AM,9.55,67.03,,,,,
229,10/02/24 01:29:40 AM,9.54,66.99,,,,,
230,10/02/24 01:44:40 AM,9.48,66.96,,,,,
231,10/02/24 01:59:40 AM,9.39,66.92,,,,,
232,10/02/24 02:14:40 AM,9.29,66.92,,,,,
233,10/02/24 02:29:40 AM,9.28,66.88,,,,,
234,10/02/24 02:44:40 AM,9.27,66.85,,,,,
235,10/02/24 02:59:40 AM,9.21,66.81,,,,,
236,10/02/24 03:14:40 AM,9.20,66.78,,,,,
237,10/02/24 03:29:40 AM,9.19,66.70,,,,,
238,10/02/24 03:44:40 AM,9.15,66.67,,,,,
239,10/02/24 03:59:40 AM,9.14,66.63,,,,,
240,10/02/24 04:14:40 AM,9.13,66.60,,,,,
241,10/02/24 04:29:40 AM,9.08,66.56,,,,,
242,10/02/24 04:44:40 AM,9.04,66.52,,,,,
243,10/02/24 04:59:40 AM,8.93,66.52,,,,,
244,10/02/24 05:14:40 AM,8.91,66.49,,,,,
245,10/02/24 05:29:40 AM,8.84,66.49,,,,,
246,10/02/24 05:44:40 AM,8.82,66.45,,,,,
247,10/02/24 05:59:40 AM,8.76,66.42,,,,,
248,10/02/24 06:14:40 AM,8.69,66.38,,,,,
249,10/02/24 06:29:40 AM,8.63,66.34,,,,,
250,10/02/24 06:44:40 AM,8.65,66.34,,,,,
251,10/02/24 06:59:40 AM,8.58,66.31,,,,,
252,10/02/24 07:14:40 AM,8.66,66.27,,,,,
253,10/02/24 07:29:40 AM,8.66,66.24,,,,,
254,10/02/24 07:44:40 AM,8.63,66.20,,,,,
255,10/02/24 07:59:40 AM,8.68,66.16,,,,,
256,10/02/24 08:14:40 AM,8.70,66.16,,,,,
257,10/02/24 08:29:40 AM,8.80,66.16,,,,,
258,10/02/24 08:44:40 AM,8.85,66.16,,,,,
259,10/02/24 08:59:40 AM,8.93,66.20,,,,,
260,10/02/24 09:14:40 AM,8.86,66.20,,,,,
261,10/02/24 09:29:40 AM,8.89,66.16,,,,,
262,10/02/24 09:44:40 AM,8.63,66.13,,,,,
263,10/02/24 09:59:40 AM,8.65,66.09,,,,,
264,10/02/24 10:14:40 AM,8.38,66.02,,,,,
265,10/02/24 10:29:40 AM,8.73,66.06,,,,,
266,10/02/24 10:44:40 AM,8.81,66.13,,,,,
267,10/02/24 10:59:40 AM,8.78,66.13,,,,,
268,10/02/24 11:14:40 AM,8.93,66.24,,,,,
269,10/02/24 11:29:40 AM,9.07,66.42,,,,,
270,10/02/24 11:44:40 AM,9.34,66.52,,,,,
271,10/02/24 11:59:40 AM,9.35,66.67,,,,,
272,10/02/24 12:14:40 PM,9.69,66.88,,,,,
273,10/02/24 12:29:40 PM,9.84,67.03,,,,,
274,10/02/24 12:44:40 PM,9.61,67.03,,,,,
275,10/02/24 12:59:40 PM,9.77,67.06,,,,,
276,10/02/24 01:14:40 PM,9.72,67.14,,,,,
277,10/02/24 01:29:40 PM,9.57,67.10,,,,,
278,10/02/24 01:44:40 PM,9.60,67.14,,,,,
279,10/02/24 01:59:40 PM,9.77,67.24,,,,,
280,10/02/24 02:14:40 PM,9.91,67.32,,,,,
281,10/02/24 02:29:40 PM,9.92,67.32,,,,,
282,10/02/24 02:44:40 PM,10.20,67.42,,,,,
283,10/02/24 02:59:40 PM,10.20,67.60,,,,,
284,10/02/24 03:14:40 PM,10.16,67.78,,,,,
285,10/02/24 03:29:40 PM,9.91,67.93,,,,,
286,10/02/24 03:44:40 PM,9.28,67.96,,,,,
287,10/02/24 03:59:40 PM,8.20,67.82,,,,,
288,10/02/24 04:14:40 PM,7.99,67.64,,,,,
289,10/02/24 04:29:40 PM,7.55,67.32,,,,,
290,10/02/24 04:44:40 PM,7.11,66.96,,,,,
291,10/02/24 04:59:40 PM,7.26,66.74,,,,,
292,10/02/24 05:14:40 PM,7.67,66.52,,,,,
293,10/02/24 05:29:40 PM,7.86,66.24,,,,,
294,10/02/24 05:44:40 PM,7.99,66.13,,,,,
295,10/02/24 05:59:40 PM,8.02,66.09,,,,,
296,10/02/24 06:14:40 PM,8.14,66.09,,,,,
297,10/02/24 06:29:40 PM,8.19,66.09,,,,,
298,10/02/24 06:44:40 PM,8.27,66.09,,,,,
299,10/02/24 06:59:40 PM,8.21,66.09,,,,,
300,10/02/24 07:14:40 PM,8.11,66.13,,,,,
301,10/02/24 07:29:40 PM,8.07,66.16,,,,,
302,10/02/24 07:44:40 PM,8.14,66.16,,,,,
303,10/02/24 07:59:40 PM,8.21,66.16,,,,,
304,10/02/24 08:14:40 PM,8.11,66.13,,,,,
305,10/02/24 08:29:40 PM,8.03,66.16,,,,,
306,10/02/24 08:44:40 PM,8.03,66.24,,,,,
307,10/02/24 08:59:40 PM,8.12,66.31,,,,,
308,10/02/24 09:14:40 PM,8.06,66.34,,,,,
309,10/02/24 09:29:40 PM,8.04,66.34,,,,,
310,10/02/24 09:44:40 PM,8.05,66.38,,,,,
311,10/02/24 09:59:40 PM,8.15,66.45,,,,,
312,10/02/24 10:14:40 PM,8.55,66.60,,,,,
313,10/02/24 10:29:40 PM,8.65,66.67,,,,,
314,10/02/24 10:44:40 PM,8.89,66.74,,,,,
315,10/02/24 10:59:40 PM,9.00,66.78,,,,,
316,10/02/24 11:14:40 PM,9.08,66.74,,,,,
317,10/02/24 11:29:40 PM,9.03,66.74,,,,,
318,10/02/24 11:44:40 PM,8.96,66.74,,,,,
319,10/02/24 11:59:40 PM,8.96,66.78,,,,,
320,10/03/24 12:14:40 AM,8.96,66.85,,,,,
321,10/03/24 12:29:40 AM,9.04,66.85,,,,,
322,10/03/24 12:44:40 AM,9.01,66.85,,,,,
323,10/03/24 12:59:40 AM,9.66,66.92,,,,,
324,10/03/24 01:14:40 AM,9.70,66.96,,,,,
325,10/03/24 01:29:40 AM,9.82,66.96,,,,,
326,10/03/24 01:44:40 AM,9.78,66.96,,,,,
327,10/03/24 01:59:40 AM,9.92,66.92,,,,,
328,10/03/24 02:14:40 AM,9.64,66.88,,,,,
329,10/03/24 02:29:40 AM,9.75,66.88,,,,,
330,10/03/24 02:44:40 AM,9.92,66.85,,,,,
331,10/03/24 02:59:40 AM,9.89,66.81,,,,,
332,10/03/24 03:14:40 AM,9.75,66.78,,,,,
333,10/03/24 03:29:40 AM,9.72,66.74,,,,,
334,10/03/24 03:44:40 AM,9.45,66.70,,,,,
335,10/03/24 03:59:40 AM,9.51,66.70,,,,,
336,10/03/24 04:14:40 AM,9.35,66.67,,,,,
337,10/03/24 04:29:40 AM,9.29,66.63,,,,,
338,10/03/24 04:44:40 AM,9.32,66.60,,,,,
339,10/03/24 04:59:40 AM,9.21,66.56,,,,,
340,10/03/24 05:14:40 AM,9.11,66.52,,,,,
341,10/03/24 05:29:40 AM,9.04,66.52,,,,,
342,10/03/24 05:44:40 AM,9.04,66.49,,,,,
343,10/03/24 05:59:40 AM,8.93,66.49,,,,,
344,10/03/24 06:14:40 AM,8.84,66.45,,,,,
345,10/03/24 06:29:40 AM,8.93,66.45,,,,,
346,10/03/24 06:44:40 AM,8.87,66.42,,,,,
347,10/03/24 06:59:40 AM,8.80,66.42,,,,,
348,10/03/24 07:14:40 AM,8.82,66.38,,,,,
349,10/03/24 07:29:40 AM,8.78,66.38,,,,,
350,10/03/24 07:44:40 AM,8.58,66.34,,,,,
351,10/03/24 07:59:40 AM,8.46,66.34,,,,,
352,10/03/24 08:14:40 AM,8.57,66.34,,,,,
353,10/03/24 08:29:40 AM,8.68,66.34,,,,,
354,10/03/24 08:44:40 AM,8.60,66.34,,,,,
355,10/03/24 08:59:40 AM,8.59,66.34,,,,,
356,10/03/24 09:14:40 AM,8.60,66.34,,,,,
357,10/03/24 09:29:40 AM,8.62,66.34,,,,,
358,10/03/24 09:44:40 AM,8.64,66.34,,,,,
359,10/03/24 09:59:40 AM,8.57,66.34,,,,,
360,10/03/24 10:14:40 AM,8.74,66.38,,,,,
361,10/03/24 10:29:40 AM,8.59,66.38,,,,,
362,10/03/24 10:44:40 AM,8.59,66.38,,,,,
363,10/03/24 10:59:40 AM,8.67,66.42,,,,,
364,10/03/24 11:14:40 AM,8.88,66.42,,,,,
365,10/03/24 11:29:40 AM,9.20,66.45,,,,,
366,10/03/24 11:44:40 AM,9.48,66.52,,,,,
367,10/03/24 11:59:40 AM,9.43,66.60,,,,,
368,10/03/24 12:14:40 PM,9.72,66.78,,,,,
369,10/03/24 12:29:40 PM,9.88,66.85,,,,,
370,10/03/24 12:44:40 PM,9.99,66.85,,,,,
371,10/03/24 12:59:40 PM,10.03,66.88,,,,,
372,10/03/24 01:14:40 PM,9.87,66.85,,,,,
373,10/03/24 01:29:40 PM,9.56,66.85,,,,,
374,10/03/24 01:44:40 PM,9.62,66.85,,,,,
375,10/03/24 01:59:40 PM,9.96,66.85,,,,,
376,10/03/24 02:14:40 PM,10.03,66.88,,,,,
377,10/03/24 02:29:40 PM,10.20,66.96,,,,,
378,10/03/24 02:44:40 PM,9.97,66.96,,,,,
379,10/03/24 02:59:40 PM,10.37,67.21,,,,,
380,10/03/24 03:14:40 PM,10.88,67.71,,,,,
381,10/03/24 03:29:40 PM,10.93,67.96,,,,,
382,10/03/24 03:44:40 PM,11.01,68.07,,,,,
383,10/03/24 03:59:40 PM,11.04,68.11,,,,,
384,10/03/24 04:14:40 PM,11.02,68.18,,,,,
385,10/03/24 04:29:40 PM,11.05,68.22,,,,,
386,10/03/24 04:44:40 PM,11.11,68.29,,,,,
387,10/03/24 04:59:40 PM,11.12,68.29,,,,,
388,10/03/24 05:14:40 PM,11.15,68.29,,,,,
389,10/03/24 05:29:40 PM,10.99,68.29,,,,,
390,10/03/24 05:44:40 PM,10.45,68.22,,,,,
391,10/03/24 05:59:40 PM,9.29,68.04,,,,,
392,10/03/24 06:14:40 PM,7.80,67.96,,,,,
393,10/03/24 06:29:40 PM,7.79,67.14,,,,,
394,10/03/24 06:44:40 PM,7.73,66.88,,,,,
395,10/03/24 06:59:40 PM,7.20,66.74,,,,,
396,10/03/24 07:14:40 PM,7.37,66.56,,,,,
397,10/03/24 07:29:40 PM,7.37,66.42,,,,,
398,10/03/24 07:44:40 PM,7.23,66.42,,,,,
399,10/03/24 07:59:40 PM,7.27,66.38,,,,,
400,10/03/24 08:14:40 PM,7.75,66.42,,,,,
401,10/03/24 08:29:40 PM,8.21,66.42,,,,,
402,10/03/24 08:44:40 PM,8.29,66.45,,,,,
403,10/03/24 08:59:40 PM,9.21,66.56,,,,,
404,10/03/24 09:14:40 PM,9.34,66.70,,,,,
405,10/03/24 09:29:40 PM,9.65,66.88,,,,,
406,10/03/24 09:44:40 PM,9.39,66.96,,,,,
407,10/03/24 09:59:40 PM,10.23,67.03,,,,,
408,10/03/24 10:14:40 PM,10.45,67.03,,,,,
409,10/03/24 10:29:40 PM,10.40,67.03,,,,,
410,10/03/24 10:44:40 PM,10.39,66.96,,,,,
411,10/03/24 10:59:40 PM,10.36,66.88,,,,,
412,10/03/24 11:14:40 PM,10.30,66.88,,,,,
413,10/03/24 11:29:40 PM,10.02,66.85,,,,,
414,10/03/24 11:44:40 PM,10.22,66.81,,,,,
415,10/03/24 11:59:40 PM,10.10,66.78,,,,,
416,10/04/24 12:14:40 AM,9.69,66.74,,,,,
417,10/04/24 12:29:40 AM,9.83,66.67,,,,,
418,10/04/24 12:44:40 AM,9.46,66.63,,,,,
419,10/04/24 12:59:40 AM,9.47,66.60,,,,,
420,10/04/24 01:14:40 AM,9.44,66.52,,,,,
421,10/04/24 01:29:40 AM,9.49,66.45,,,,,
422,10/04/24 01:44:40 AM,9.44,66.42,,,,,
423,10/04/24 01:59:40 AM,9.27,66.38,,,,,
424,10/04/24 02:14:40 AM,9.14,66.38,,,,,
425,10/04/24 02:29:40 AM,9.09,66.34,,,,,
426,10/04/24 02:44:40 AM,9.10,66.31,,,,,
427,10/04/24 02:59:40 AM,9.18,66.31,,,,,
428,10/04/24 03:14:40 AM,9.11,66.27,,,,,
429,10/04/24 03:29:40 AM,9.19,66.20,,,,,
430,10/04/24 03:44:40 AM,9.20,66.16,,,,,
431,10/04/24 03:59:40 AM,9.19,66.16,,,,,
432,10/04/24 04:14:40 AM,9.14,66.16,,,,,
433,10/04/24 04:29:40 AM,8.99,66.13,,,,,
434,10/04/24 04:44:40 AM,9.06,66.09,,,,,
435,10/04/24 04:59:40 AM,9.02,66.02,,,,,
436,10/04/24 05:14:40 AM,8.98,65.98,,,,,
437,10/04/24 05:29:40 AM,8.98,65.91,,,,,
438,10/04/24 05:44:40 AM,8.97,65.88,,,,,
439,10/04/24 05:59:40 AM,8.96,65.84,,,,,
440,10/04/24 06:14:40 AM,8.94,65.80,,,,,
441,10/04/24 06:29:40 AM,8.50,65.77,,,,,
442,10/04/24 06:44:40 AM,8.74,65.73,,,,,
443,10/04/24 06:59:40 AM,8.65,65.66,,,,,
444,10/04/24 07:14:40 AM,8.67,65.66,,,,,
445,10/04/24 07:29:40 AM,8.58,65.59,,,,,
446,10/04/24 07:44:40 AM,8.56,65.52,,,,,
447,10/04/24 07:59:40 AM,8.58,65.48,,,,,
448,10/04/24 08:14:40 AM,8.50,65.48,,,,,
449,10/04/24 08:29:40 AM,8.59,65.48,,,,,
450,10/04/24 08:44:40 AM,8.67,65.48,,,,,
451,10/04/24 08:59:40 AM,8.82,65.52,,,,,
452,10/04/24 09:14:40 AM,8.76,65.52,,,,,
453,10/04/24 09:29:40 AM,8.95,65.52,,,,,
