"Plot Title: 8-17-24"
"#","Date Time, GMT-04:00","DO conc, mg/L (LGR S/N: 21118650, SEN S/N: 21118650, LBL: CP - Sector 1)","Temp, °F (LGR S/N: 21118650, SEN S/N: 21118650, LBL: CP - Sector 1)","Coupler Detached (LGR S/N: 21118650)","Expired Sensor Cap (LGR S/N: 21118650)","Coupler Attached (LGR S/N: 21118650)","Host Connected (LGR S/N: 21118650)","Stopped (LGR S/N: 21118650)","End Of File (LGR S/N: 21118650)"
127,08/18/24 05:03:42 PM,10.18,76.50,,,,,,
128,08/18/24 05:18:42 PM,9.13,76.28,,,,,,
129,08/18/24 05:33:42 PM,9.74,76.35,,,,,,
130,08/18/24 05:48:42 PM,10.35,76.46,,,,,,
131,08/18/24 06:03:42 PM,9.83,76.39,,,,,,
132,08/18/24 06:18:42 PM,10.59,76.50,,,,,,
133,08/18/24 06:33:42 PM,10.32,76.53,,,,,,
134,08/18/24 06:48:42 PM,9.92,76.57,,,,,,
135,08/18/24 07:03:42 PM,11.39,76.75,,,,,,
136,08/18/24 07:18:42 PM,12.40,76.82,,,,,,
137,08/18/24 07:33:42 PM,10.11,76.57,,,,,,
138,08/18/24 07:48:42 PM,9.57,76.46,,,,,,
139,08/18/24 08:03:42 PM,10.11,76.50,,,,,,
140,08/18/24 08:18:42 PM,10.50,76.57,,,,,,
141,08/18/24 08:33:42 PM,9.72,76.53,,,,,,
142,08/18/24 08:48:42 PM,9.74,76.53,,,,,,
143,08/18/24 09:03:42 PM,11.51,76.57,,,,,,
144,08/18/24 09:18:42 PM,11.62,76.57,,,,,,
145,08/18/24 09:33:42 PM,11.51,76.57,,,,,,
146,08/18/24 09:48:42 PM,11.46,76.53,,,,,,
147,08/18/24 10:03:42 PM,10.88,76.50,,,,,,
148,08/18/24 10:18:42 PM,10.79,76.50,,,,,,
149,08/18/24 10:33:42 PM,10.87,76.50,,,,,,
150,08/18/24 10:48:42 PM,10.79,76.46,,,,,,
151,08/18/24 11:03:42 PM,10.76,76.46,,,,,,
152,08/18/24 11:18:42 PM,10.67,76.42,,,,,,
153,08/18/24 11:33:42 PM,10.74,76.42,,,,,,
154,08/18/24 11:48:42 PM,10.74,76.39,,,,,,
155,08/19/24 12:03:42 AM,10.80,76.39,,,,,,
156,08/19/24 12:18:42 AM,10.85,76.35,,,,,,
157,08/19/24 12:33:42 AM,10.68,76.35,,,,,,
158,08/19/24 12:48:42 AM,10.81,76.35,,,,,,
159,08/19/24 01:03:42 AM,10.76,76.35,,,,,,
160,08/19/24 01:18:42 AM,10.71,76.35,,,,,,
161,08/19/24 01:33:42 AM,10.62,76.32,,,,,,
162,08/19/24 01:48:42 AM,10.65,76.32,,,,,,
163,08/19/24 02:03:42 AM,10.53,76.32,,,,,,
164,08/19/24 02:18:42 AM,10.45,76.28,,,,,,
165,08/19/24 02:33:42 AM,10.26,76.24,,,,,,
166,08/19/24 02:48:42 AM,10.16,76.24,,,,,,
167,08/19/24 03:03:42 AM,10.14,76.21,,,,,,
168,08/19/24 03:18:42 AM,10.07,76.21,,,,,,
169,08/19/24 03:33:42 AM,9.93,76.17,,,,,,
170,08/19/24 03:48:42 AM,9.91,76.17,,,,,,
171,08/19/24 04:03:42 AM,9.72,76.14,,,,,,
172,08/19/24 04:18:42 AM,9.54,76.10,,,,,,
173,08/19/24 04:33:42 AM,9.55,76.10,,,,,,
174,08/19/24 04:48:42 AM,9.44,76.10,,,,,,
175,08/19/24 05:03:42 AM,9.15,76.03,,,,,,
176,08/19/24 05:18:42 AM,9.09,76.03,,,,,,
177,08/19/24 05:33:42 AM,8.91,75.99,,,,,,
178,08/19/24 05:48:42 AM,8.83,75.99,,,,,,
179,08/19/24 06:03:42 AM,8.71,75.99,,,,,,
180,08/19/24 06:18:42 AM,8.69,75.96,,,,,,
181,08/19/24 06:33:42 AM,8.50,75.92,,,,,,
182,08/19/24 06:48:42 AM,8.36,75.92,,,,,,
183,08/19/24 07:03:42 AM,8.20,75.92,,,,,,
184,08/19/24 07:18:42 AM,8.26,75.92,,,,,,
185,08/19/24 07:33:42 AM,8.15,75.92,,,,,,
186,08/19/24 07:48:42 AM,8.19,75.88,,,,,,
187,08/19/24 08:03:42 AM,8.15,75.88,,,,,,
188,08/19/24 08:18:42 AM,8.09,75.92,,,,,,
189,08/19/24 08:33:42 AM,8.11,75.88,,,,,,
190,08/19/24 08:48:42 AM,8.13,75.88,,,,,,
191,08/19/24 09:03:42 AM,8.18,75.88,,,,,,
192,08/19/24 09:18:42 AM,8.35,75.88,,,,,,
193,08/19/24 09:33:42 AM,8.45,75.85,,,,,,
194,08/19/24 09:48:42 AM,8.45,75.81,,,,,,
195,08/19/24 10:03:42 AM,8.54,75.81,,,,,,
196,08/19/24 10:18:42 AM,8.56,75.81,,,,,,
197,08/19/24 10:33:42 AM,8.22,75.81,,,,,,
198,08/19/24 10:48:42 AM,8.24,75.81,,,,,,
199,08/19/24 11:03:42 AM,8.50,75.85,,,,,,
200,08/19/24 11:18:42 AM,8.37,75.81,,,,,,
201,08/19/24 11:33:42 AM,8.72,75.85,,,,,,
202,08/19/24 11:48:42 AM,8.49,75.88,,,,,,
203,08/19/24 12:03:42 PM,8.75,75.88,,,,,,
204,08/19/24 12:18:42 PM,8.72,75.88,,,,,,
205,08/19/24 12:33:42 PM,9.00,75.88,,,,,,
206,08/19/24 12:48:42 PM,8.49,75.88,,,,,,
207,08/19/24 01:03:42 PM,8.20,75.92,,,,,,
208,08/19/24 01:18:42 PM,8.62,75.88,,,,,,
209,08/19/24 01:33:42 PM,8.63,75.92,,,,,,
210,08/19/24 01:48:42 PM,8.75,75.96,,,,,,
211,08/19/24 02:03:42 PM,9.09,75.96,,,,,,
212,08/19/24 02:18:42 PM,9.18,75.99,,,,,,
213,08/19/24 02:33:42 PM,8.89,75.96,,,,,,
214,08/19/24 02:48:42 PM,8.89,75.99,,,,,,
215,08/19/24 03:03:42 PM,8.88,75.99,,,,,,
216,08/19/24 03:18:42 PM,9.28,76.03,,,,,,
217,08/19/24 03:33:42 PM,9.04,76.10,,,,,,
218,08/19/24 03:48:42 PM,9.85,76.17,,,,,,
219,08/19/24 04:03:42 PM,10.14,76.24,,,,,,
220,08/19/24 04:18:42 PM,10.20,76.35,,,,,,
221,08/19/24 04:33:42 PM,9.89,76.24,,,,,,
222,08/19/24 04:48:42 PM,9.94,76.21,,,,,,
223,08/19/24 05:03:42 PM,12.72,77.04,,,,,,
224,08/19/24 05:18:42 PM,12.64,77.40,,,,,,
225,08/19/24 05:33:42 PM,12.50,77.47,,,,,,
226,08/19/24 05:48:42 PM,12.29,77.43,,,,,,
227,08/19/24 06:03:42 PM,12.15,77.43,,,,,,
228,08/19/24 06:18:42 PM,12.10,77.47,,,,,,
229,08/19/24 06:33:42 PM,12.29,77.50,,,,,,
230,08/19/24 06:48:42 PM,12.50,77.65,,,,,,
231,08/19/24 07:03:42 PM,12.48,77.61,,,,,,
232,08/19/24 07:18:42 PM,12.49,77.54,,,,,,
233,08/19/24 07:33:42 PM,12.33,77.58,,,,,,
234,08/19/24 07:48:42 PM,12.29,77.65,,,,,,
235,08/19/24 08:03:42 PM,12.20,77.61,,,,,,
236,08/19/24 08:18:42 PM,12.11,77.61,,,,,,
237,08/19/24 08:33:42 PM,12.07,77.58,,,,,,
238,08/19/24 08:48:42 PM,11.96,77.58,,,,,,
239,08/19/24 09:03:42 PM,11.85,77.54,,,,,,
240,08/19/24 09:18:42 PM,11.75,77.50,,,,,,
241,08/19/24 09:33:42 PM,11.67,77.43,,,,,,
242,08/19/24 09:48:42 PM,11.50,77.36,,,,,,
243,08/19/24 10:03:42 PM,11.37,77.29,,,,,,
244,08/19/24 10:18:42 PM,11.20,77.22,,,,,,
245,08/19/24 10:33:42 PM,11.05,77.11,,,,,,
246,08/19/24 10:48:42 PM,10.87,77.00,,,,,,
247,08/19/24 11:03:42 PM,10.74,76.89,,,,,,
248,08/19/24 11:18:42 PM,10.74,76.82,,,,,,
249,08/19/24 11:33:42 PM,10.40,76.78,,,,,,
250,08/19/24 11:48:42 PM,10.33,76.64,,,,,,
251,08/20/24 12:03:42 AM,9.93,76.46,,,,,,
252,08/20/24 12:18:42 AM,9.39,76.17,,,,,,
253,08/20/24 12:33:42 AM,9.10,76.03,,,,,,
254,08/20/24 12:48:42 AM,9.58,76.06,,,,,,
255,08/20/24 01:03:42 AM,9.27,76.06,,,,,,
256,08/20/24 01:18:42 AM,9.72,76.10,,,,,,
257,08/20/24 01:33:42 AM,9.85,76.17,,,,,,
258,08/20/24 01:48:42 AM,9.35,76.14,,,,,,
259,08/20/24 02:03:42 AM,9.43,76.10,,,,,,
260,08/20/24 02:18:42 AM,8.76,75.92,,,,,,
261,08/20/24 02:33:42 AM,8.91,75.85,,,,,,
262,08/20/24 02:48:42 AM,8.88,75.74,,,,,,
263,08/20/24 03:03:42 AM,8.88,75.63,,,,,,
264,08/20/24 03:18:42 AM,8.84,75.56,,,,,,
265,08/20/24 03:33:42 AM,8.72,75.56,,,,,,
266,08/20/24 03:48:42 AM,8.69,75.52,,,,,,
267,08/20/24 04:03:42 AM,8.61,75.52,,,,,,
268,08/20/24 04:18:42 AM,8.49,75.38,,,,,,
269,08/20/24 04:33:42 AM,8.37,75.24,,,,,,
270,08/20/24 04:48:42 AM,8.22,75.20,,,,,,
271,08/20/24 05:03:42 AM,8.18,75.13,,,,,,
272,08/20/24 05:18:42 AM,8.08,75.09,,,,,,
273,08/20/24 05:33:42 AM,8.06,74.98,,,,,,
274,08/20/24 05:48:42 AM,8.06,74.88,,,,,,
275,08/20/24 06:03:42 AM,8.00,74.77,,,,,,
276,08/20/24 06:18:42 AM,7.79,74.73,,,,,,
277,08/20/24 06:33:42 AM,7.85,74.66,,,,,,
278,08/20/24 06:48:42 AM,7.69,74.62,,,,,,
279,08/20/24 07:03:42 AM,7.57,74.52,,,,,,
280,08/20/24 07:18:42 AM,7.65,74.41,,,,,,
281,08/20/24 07:33:42 AM,7.53,74.41,,,,,,
282,08/20/24 07:48:42 AM,6.98,74.26,,,,,,
283,08/20/24 08:03:42 AM,7.31,74.08,,,,,,
284,08/20/24 08:18:42 AM,7.27,74.05,,,,,,
285,08/20/24 08:33:42 AM,7.34,73.94,,,,,,
286,08/20/24 08:48:42 AM,7.45,73.90,,,,,,
287,08/20/24 09:03:42 AM,7.45,73.80,,,,,,
288,08/20/24 09:18:42 AM,7.70,73.80,,,,,,
289,08/20/24 09:33:42 AM,7.69,73.72,,,,,,
290,08/20/24 09:48:42 AM,7.75,73.65,,,,,,
291,08/20/24 10:03:42 AM,7.79,73.65,,,,,,
292,08/20/24 10:18:42 AM,7.88,73.62,,,,,,
293,08/20/24 10:33:42 AM,7.87,73.65,,,,,,
294,08/20/24 10:48:42 AM,7.98,73.65,,,,,,
295,08/20/24 11:03:42 AM,8.13,73.69,,,,,,
296,08/20/24 11:18:42 AM,8.13,73.69,,,,,,
297,08/20/24 11:33:42 AM,8.23,73.65,,,,,,
298,08/20/24 11:48:42 AM,8.28,73.62,,,,,,
299,08/20/24 12:03:42 PM,8.15,73.58,,,,,,
300,08/20/24 12:18:42 PM,8.27,73.54,,,,,,
301,08/20/24 12:33:42 PM,8.30,73.54,,,,,,
302,08/20/24 12:48:42 PM,8.37,73.51,,,,,,
303,08/20/24 01:03:42 PM,8.37,73.47,,,,,,
304,08/20/24 01:18:42 PM,8.54,73.47,,,,,,
305,08/20/24 01:33:42 PM,8.50,73.51,,,,,,
306,08/20/24 01:48:42 PM,8.83,73.51,,,,,,
307,08/20/24 02:03:42 PM,8.84,73.54,,,,,,
308,08/20/24 02:18:42 PM,9.24,73.62,,,,,,
309,08/20/24 02:33:42 PM,9.45,73.65,,,,,,
310,08/20/24 02:48:42 PM,9.61,73.69,,,,,,
311,08/20/24 03:03:42 PM,9.65,73.65,,,,,,
312,08/20/24 03:18:42 PM,9.63,73.62,,,,,,
313,08/20/24 03:33:42 PM,9.81,73.58,,,,,,
314,08/20/24 03:48:42 PM,9.81,73.62,,,,,,
315,08/20/24 04:03:42 PM,10.06,73.72,,,,,,
316,08/20/24 04:18:42 PM,10.09,73.72,,,,,,
317,08/20/24 04:33:42 PM,10.07,73.72,,,,,,
318,08/20/24 04:48:42 PM,10.05,73.76,,,,,,
319,08/20/24 05:03:42 PM,10.05,73.72,,,,,,
320,08/20/24 05:18:42 PM,10.07,73.69,,,,,,
321,08/20/24 05:33:42 PM,10.19,73.72,,,,,,
322,08/20/24 05:48:42 PM,10.11,73.69,,,,,,
323,08/20/24 06:03:42 PM,10.24,73.62,,,,,,
324,08/20/24 06:18:42 PM,10.19,73.58,,,,,,
325,08/20/24 06:33:42 PM,10.19,73.51,,,,,,
326,08/20/24 06:48:42 PM,10.07,73.44,,,,,,
327,08/20/24 07:03:42 PM,9.98,73.40,,,,,,
328,08/20/24 07:18:42 PM,9.94,73.36,,,,,,
329,08/20/24 07:33:42 PM,9.91,73.29,,,,,,
330,08/20/24 07:48:42 PM,9.85,73.22,,,,,,
331,08/20/24 08:03:42 PM,9.74,73.11,,,,,,
332,08/20/24 08:18:42 PM,9.70,73.00,,,,,,
333,08/20/24 08:33:42 PM,9.92,73.00,,,,,,
334,08/20/24 08:48:42 PM,9.94,72.97,,,,,,
335,08/20/24 09:03:42 PM,10.06,72.93,,,,,,
336,08/20/24 09:18:42 PM,10.16,72.82,,,,,,
337,08/20/24 09:33:42 PM,10.19,72.75,,,,,,
338,08/20/24 09:48:42 PM,9.93,72.68,,,,,,
339,08/20/24 10:03:42 PM,10.02,72.64,,,,,,
340,08/20/24 10:18:42 PM,10.02,72.54,,,,,,
341,08/20/24 10:33:42 PM,9.62,72.39,,,,,,
342,08/20/24 10:48:42 PM,9.48,72.32,,,,,,
343,08/20/24 11:03:42 PM,9.36,72.36,,,,,,
344,08/20/24 11:18:42 PM,9.10,72.39,,,,,,
345,08/20/24 11:33:42 PM,9.36,72.36,,,,,,
346,08/20/24 11:48:42 PM,8.96,72.43,,,,,,
347,08/21/24 12:03:42 AM,8.82,72.36,,,,,,
348,08/21/24 12:18:42 AM,8.74,72.36,,,,,,
349,08/21/24 12:33:42 AM,9.15,72.25,,,,,,
350,08/21/24 12:48:42 AM,8.67,72.25,,,,,,
351,08/21/24 01:03:42 AM,8.66,72.21,,,,,,
352,08/21/24 01:18:42 AM,8.63,72.18,,,,,,
353,08/21/24 01:33:42 AM,8.44,72.10,,,,,,
354,08/21/24 01:48:42 AM,8.52,72.10,,,,,,
355,08/21/24 02:03:42 AM,8.46,72.07,,,,,,
356,08/21/24 02:18:42 AM,8.43,72.00,,,,,,
357,08/21/24 02:33:42 AM,8.37,71.92,,,,,,
358,08/21/24 02:48:42 AM,8.37,71.96,,,,,,
359,08/21/24 03:03:42 AM,8.20,71.92,,,,,,
360,08/21/24 03:18:42 AM,8.15,71.89,,,,,,
361,08/21/24 03:33:42 AM,8.05,71.89,,,,,,
362,08/21/24 03:48:42 AM,8.04,71.85,,,,,,
363,08/21/24 04:03:42 AM,7.97,71.78,,,,,,
364,08/21/24 04:18:42 AM,7.92,71.71,,,,,,
365,08/21/24 04:33:42 AM,7.84,71.67,,,,,,
366,08/21/24 04:48:42 AM,7.78,71.64,,,,,,
367,08/21/24 05:03:42 AM,7.69,71.60,,,,,,
368,08/21/24 05:18:42 AM,7.61,71.56,,,,,,
369,08/21/24 05:33:42 AM,7.53,71.49,,,,,,
370,08/21/24 05:48:42 AM,7.48,71.42,,,,,,
371,08/21/24 06:03:42 AM,7.39,71.38,,,,,,
372,08/21/24 06:18:42 AM,7.34,71.38,,,,,,
373,08/21/24 06:33:42 AM,7.27,71.35,,,,,,
374,08/21/24 06:48:42 AM,7.18,71.28,,,,,,
375,08/21/24 07:03:42 AM,7.14,71.28,,,,,,
376,08/21/24 07:18:42 AM,7.23,71.24,,,,,,
377,08/21/24 07:33:42 AM,7.30,71.13,,,,,,
378,08/21/24 07:48:42 AM,7.26,71.10,,,,,,
379,08/21/24 08:03:42 AM,7.35,71.06,,,,,,
380,08/21/24 08:18:42 AM,7.63,71.06,,,,,,
381,08/21/24 08:33:42 AM,7.71,71.06,,,,,,
382,08/21/24 08:48:42 AM,7.74,71.06,,,,,,
383,08/21/24 09:03:42 AM,7.88,71.02,,,,,,
384,08/21/24 09:18:42 AM,7.98,71.02,,,,,,
385,08/21/24 09:33:42 AM,8.04,71.06,,,,,,
386,08/21/24 09:48:42 AM,8.13,71.10,,,,,,
387,08/21/24 10:03:42 AM,8.18,71.17,,,,,,
388,08/21/24 10:18:42 AM,8.28,71.17,,,,,,
389,08/21/24 10:33:42 AM,8.33,71.24,,,,,,
390,08/21/24 10:48:42 AM,8.50,71.31,,,,,,
391,08/21/24 11:03:42 AM,8.65,71.38,,,,,,
392,08/21/24 11:18:42 AM,8.37,71.38,,,,,,
393,08/21/24 11:33:42 AM,8.92,71.60,,,,,,
394,08/21/24 11:48:42 AM,9.30,71.82,,,,,,
395,08/21/24 12:03:42 PM,9.44,71.89,,,,,,
396,08/21/24 12:18:42 PM,9.49,72.03,,,,,,
397,08/21/24 12:33:42 PM,9.65,72.07,,,,,,
398,08/21/24 12:48:42 PM,9.76,72.18,,,,,,
399,08/21/24 01:03:42 PM,9.78,72.28,,,,,,
400,08/21/24 01:18:42 PM,9.71,72.32,,,,,,
401,08/21/24 01:33:42 PM,9.84,72.32,,,,,,
402,08/21/24 01:48:42 PM,10.07,72.50,,,,,,
403,08/21/24 02:03:42 PM,10.02,72.57,,,,,,
404,08/21/24 02:18:42 PM,9.65,72.46,,,,,,
405,08/21/24 02:33:42 PM,10.05,72.39,,,,,,
406,08/21/24 02:48:42 PM,10.57,72.75,,,,,,
407,08/21/24 03:03:42 PM,10.59,72.90,,,,,,
408,08/21/24 03:18:42 PM,10.66,73.00,,,,,,
409,08/21/24 03:33:42 PM,10.92,73.15,,,,,,
410,08/21/24 03:48:42 PM,10.57,73.08,,,,,,
411,08/21/24 04:03:42 PM,10.46,72.90,,,,,,
412,08/21/24 04:18:42 PM,10.00,72.68,,,,,,
413,08/21/24 04:33:42 PM,10.41,72.68,,,,,,
414,08/21/24 04:48:42 PM,10.50,72.68,,,,,,
415,08/21/24 05:03:42 PM,10.00,72.54,,,,,,
416,08/21/24 05:18:42 PM,10.02,72.54,,,,,,
417,08/21/24 05:33:42 PM,10.37,72.61,,,,,,
418,08/21/24 05:48:42 PM,10.68,72.75,,,,,,
419,08/21/24 06:03:42 PM,10.36,72.75,,,,,,
420,08/21/24 06:18:42 PM,10.32,72.79,,,,,,
421,08/21/24 06:33:42 PM,10.27,72.75,,,,,,
422,08/21/24 06:48:42 PM,9.89,72.72,,,,,,
423,08/21/24 07:03:42 PM,11.59,73.04,,,,,,
424,08/21/24 07:18:42 PM,11.42,73.04,,,,,,
425,08/21/24 07:33:42 PM,11.29,73.00,,,,,,
426,08/21/24 07:48:42 PM,11.23,72.93,,,,,,
427,08/21/24 08:03:42 PM,11.19,72.90,,,,,,
428,08/21/24 08:18:42 PM,10.58,72.90,,,,,,
429,08/21/24 08:33:42 PM,10.61,72.82,,,,,,
430,08/21/24 08:48:42 PM,10.54,72.79,,,,,,
431,08/21/24 09:03:42 PM,10.31,72.68,,,,,,
432,08/21/24 09:18:42 PM,10.35,72.57,,,,,,
433,08/21/24 09:33:42 PM,10.20,72.46,,,,,,
434,08/21/24 09:48:42 PM,10.18,72.36,,,,,,
435,08/21/24 10:03:42 PM,9.84,72.32,,,,,,
